method,h,lp_norm,inside_cells,inside_cells_phase1,inside_cells_phase2,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,phase1_all_err,phase1_full_err,phase1_cut_err,phase1_empty_err,phase2_all_err,phase2_full_err,phase2_cut_err,phase2_empty_err,pair_order_all,pair_order_full,pair_order_cut
Heat_2ph_2D_MovingVertical,1.0,L^2,12,4,8,"[4, 8]",0.38615960916288683,0.23827147903696896,0.3038847578052719,0.0,0.28235122919951505,0.0,0.28235122919951505,0.0,0.38615960916288683,0.23827147903696896,0.3038847578052719,0.0,NaN,NaN,NaN
Heat_2ph_2D_MovingVertical,0.5,L^2,56,24,32,"[24, 32]",0.25577127017099877,0.19904316780914033,0.1884505758060033,0.0,0.22413569648041565,0.12133915656187338,0.1884505758060033,0.0,0.25577127017099877,0.19904316780914033,0.16062614978075151,0.0,0.5943430509369546,0.25952492054722437,0.6893381111199628
Heat_2ph_2D_MovingVertical,0.25,L^2,240,112,128,"[112, 128]",0.0914953728307345,0.08455874072671768,0.059272366946672796,0.0,0.0914953728307345,0.0697007156776319,0.059272366946672796,0.0,0.09121625301575079,0.08455874072671768,0.03420853959094426,0.0,1.4830835314373285,1.2350555545641333,1.6687546276521565
Heat_2ph_2D_MovingVertical,0.125,L^2,992,480,512,"[480, 512]",0.030286419812312525,0.028214916669180842,0.01618322263354113,0.0,0.030286419812312525,0.025600205667941005,0.01618322263354113,0.0,0.02850404391791127,0.028214916669180842,0.004049567510907247,0.0,1.5950277384361624,1.5834958031599493,1.872860744023566
Heat_2ph_2D_MovingVertical,0.0625,L^2,4032,2048,1984,"[2048, 1984]",0.008276546431527282,0.00801586651766789,0.002338856112618767,0.0,0.008276546431527282,0.00801586651766789,0.00206085050504832,0.0,0.007538210140116385,0.007166195936549551,0.002338856112618767,0.0,1.8715702431925456,1.815527698981916,2.7906239119930043
Heat_2ph_2D_MovingVertical,0.03125,L^2,16256,8320,7936,"[8320, 7936]",0.0021613639054187924,0.0021327398553997665,0.0004548860050135551,0.0,0.0021613639054187924,0.0021327398553997665,0.00035059184365378163,0.0,0.001942060788091313,0.0018880357059877493,0.0004548860050135551,0.0,1.937086900569078,1.9101504833841745,2.362226154648734
