t,u_center,u_bulk,tau_w,u_center_exact,u_bulk_exact,tau_w_exact,force
0.005235987755982988,1.0425884841037052,0.9961614180590277,-1.3489249690964895,1.07044141064202,0.9996573249755573,-0.3977598326685051,0.2668750911291393
0.010471975511965976,1.0483901571758398,0.995208286058249,-1.0299438794808782,1.0714363395562676,0.9986295347545738,-0.3881993292437174,0.12651954802899817
0.015707963267948963,1.0522199346059584,0.9935730880099767,-0.8448905452686809,1.071696959522823,0.996917333733128,-0.37837277338965514,-0.013922705249569622
0.020943951023931952,1.0545674362993165,0.9912569445972764,-0.726773488940728,1.0712230919257786,0.9945218953682733,-0.36828689973685336,-0.15435541660141405
0.02617993877991494,1.055682857805596,0.9882614431891319,-0.6449838560715584,1.070015061530316,0.9914448613738104,-0.35794862063931315,-0.2946823404609448
0.03141592653589793,1.0557098968483472,0.9845886367525813,-0.5843767802178623,1.0680736962601254,0.9876883405951378,-0.3473650214371192,-0.43480730376403515
0.036651914291880916,1.0547380008101985,0.9802410424457099,-0.5369498821063806,1.0654003266299896,0.9832549075639546,-0.3365433556005023,-0.5746342718602351
0.041887902047863905,1.0528267609601942,0.9752216398924681,-0.4981986137120246,1.0619967848339151,0.9781476007338057,-0.3254910397586725,-0.7140674143301242
0.047123889803846894,1.0500183601573427,0.9695338691406608,-0.4654331305533654,1.0578654034894388,0.9723699203976766,-0.31421564861683227,-0.8530111706626948
0.05235987755982988,1.046344319577195,0.96318162830424,-0.43695996876977783,1.0530090140389667,0.9659258262890683,-0.302724909764852,-0.9913703157477518
0.05759586531581287,1.041829358908171,0.9561692708917745,-0.4116628343270887,1.0474309448092463,0.958819734868193,-0.29102669838116546,-1.1290500251384477
0.06283185307179585,1.036493718202557,0.948501602822754,-0.38877652469128143,1.041135018730297,0.9510565162951536,-0.2791290318355166,-1.2659559400392202
0.06806784082777884,1.03035461823001,0.9401838791339181,-0.36775891156130364,1.0341255507153642,0.9426414910921784,-0.26704006419425375,-1.4019942319746006
0.07330382858376182,1.0234272155125517,0.9312218003774766,-0.34821511607916256,1.0264073447036948,0.9335804264972017,-0.254768080631941,-1.53707166709456
0.0785398163397448,1.015725248244413,0.921621508714663,-0.32985073695187606,1.0179856903681566,0.9238795325112868,-0.24232149175311282,-1.6710956700723356
0.08377580409572778,1.0072614858857496,0.9113895837058088,-0.31244193799041203,1.0088663594899598,0.913545457642601,-0.22970882782806556,-1.8039743875509349
0.08901179185171076,0.9980480498543345,0.9005330378011878,-0.2958156973079783,0.9990556020029677,0.9025852843498607,-0.216938732946637,-1.9356167510948379
0.09424777960769375,0.9880966470607195,0.88905931153509,-0.27983639395478777,0.9885601417103037,0.891006524188368,-0.20401995909397824,-2.0659325396037547
0.09948376736367673,0.9774187429622795,0.8769762684263616,-0.26439646950472645,0.9773871716761923,0.8788171126619655,-0.19096136015238085,-2.19483244114566
0.10471975511965971,0.9660256916688159,0.8642921895892199,-0.24940978213960463,0.9655443492961926,0.8660254037844388,-0.17777188583326775,-2.322228114166731
0.10995574287564269,0.9539288349113377,0.8510157680576934,-0.23480678354114817,0.9530397910492018,0.8526401643540924,-0.1644605755435084,-2.448032248036234
0.11519173063162567,0.9411395780174444,0.8371561028279084,-0.22053095691312263,0.9398820669348255,0.8386705679454243,-0.15103655219026063,-2.5721586228848734
0.12042771838760866,0.9276694486160169,0.8227226926221484,-0.20653614471174558,0.9260801945999289,0.8241261886220159,-0.13750901592858572,-2.6945221686955767
0.12566370614359165,0.913530142169148,0.8077254293787541,-0.1927845151731628,0.9116436331583914,0.8090169943749477,-0.12388723785612196,-2.8150390236062424
0.13089969389957465,0.8987335573151964,0.7921745914728608,-0.17924499483480574,0.8965822767083026,0.7933533402912354,-0.11018055365913718,-2.9336265913844652
0.13613568165555764,0.8832918232243737,0.7760808366719754,-0.16589204593717258,0.8809064475510421,0.7771459614569711,-0.09639835721431589,-3.0502035980348703
0.14137166941154064,0.8672173206177526,0.7594551948317342,-0.1527047024523278,0.8646268891168889,0.760405965600031,-0.0825500941506653,-3.164690147500252
0.14660765716752364,0.8505226977002368,0.7423090603365786,-0.13966580241245385,0.8477547586020118,0.7431448254773944,-0.06864525537595309,-3.2770077764183374
0.15184364492350663,0.8332208819675018,0.7246541842906525,-0.12676137088904216,0.830301619321884,0.7253743710122877,-0.054693370572113154,-3.3870795078966562
0.15707963267948963,0.8153250886307876,0.7065026664640941,-0.11398011977815298,0.8122794327863643,0.7071067811865477,-0.04070400166407803,-3.4948299042686592
0.16231562043547262,0.7968488262428965,0.6878669470005293,-0.1013130390107489,0.7937005505018756,0.688354575693754,-0.026686736266512467,-3.600185118794925
0.16755160819145562,0.7778058999860126,0.6687597978912033,-0.08875305995066686,0.7745777055063002,0.6691306063588582,-0.012651181112942111,-3.7030729462740286
0.17278759594743862,0.7582104129896843,0.6491943142217341,-0.07629477625787602,0.7549240036423904,0.6494480483301837,0.0013930445282224757,-3.8034228725283774
0.1780235837034216,0.738076765974459,0.6291839051972522,-0.06393421084866982,0.7347529145756797,0.6293203910498375,0.015436315446251514,-3.901166122731106
0.1832595714594046,0.717419655461685,0.6087422849525836,-0.05166862009547401,0.7140782625630457,0.6087614290087207,0.02946900708473485,-3.996235708540911
0.1884955592153876,0.6962540707460346,0.5878834631531777,-0.03949632831297942,0.6929142169782561,0.587785252292473,0.043481502137772104,-4.088566474012509
0.1937315469713706,0.6745952897923171,0.5666217353935598,-0.02741658703165858,0.671275282600987,0.5664062369248327,0.05746419714119358,-4.178095140251272
