N,h,err_ux,err_uy,err_uz,rate_ux,rate_uy,rate_uz
8,1.0,0.07193529190473714,0.028061155068387546,0.02810892517187494,NaN,NaN,NaN
12,0.6666666666666666,0.04503054603355761,0.01809121443202023,0.018076973543302132,1.1552804958413811,1.0826080946224672,1.0887452222642633
16,0.5,0.03263883042328814,0.013421205029695918,0.013422967469500143,1.1187292995287794,1.0379183739517763,1.034724603747138
24,0.3333333333333333,0.02130399882916566,0.008627041669033822,0.008625417746837734,1.0521445489387147,1.089944022528196,1.0907321616798098
32,0.25,0.015767177159723443,0.006388376046211655,0.006390540116085932,1.0461701929753775,1.0442831956029823,1.0424514936859508
