N,h,err_u_L2,err_u_Linf,err_v_L2,err_v_Linf,err_p_L2,err_p_Linf,rate_u_L2,rate_u_Linf,rate_v_L2,rate_v_Linf,rate_p_L2,rate_p_Linf
32,0.03125,0.004082454272264787,0.04161320065323393,0.0025684847904889813,0.0325681523092653,1.5572705839253885e10,6.031283037090487e10,NaN,NaN,NaN,NaN,NaN,NaN
64,0.015625,0.00014828783275294233,0.00042346383822966516,6.953195259576195e-5,0.0004320808990485453,1.6979777755449387e8,9.453940148367726e8,4.782964593800164,6.618658670793391,5.207097616587966,6.236016608054216,6.519058255897984,5.995405398387106
128,0.0078125,4.3145047076997615e-5,0.00013838601654603266,1.918389751266553e-5,7.92032752927399e-5,1.3673286440225197e7,1.085283469244851e8,1.7811333703540784,1.6135406048878111,1.8577802473644973,2.447669458867118,3.6343856274639412,3.1228438164168253
256,0.00390625,8.75004461021072e-6,5.836489178367987e-5,5.002401997211411e-6,9.550555502294e-5,5.725848978203154e6,6.452704098296094e7,2.301832674467409,1.2455254595308116,1.9392029530143635,-0.270024557773823,1.2557985190895349,0.7500961403655663
