y_over_h,Re_u_num,Im_u_num,Re_u_exact,Im_u_exact
-0.984375,0.0019654718301323707,0.0015104437667734323,0.12579019712847178,0.09666840107349967
-0.953125,0.295090440944994,0.15958030625024736,0.36266532385194294,0.22379274625628076
-0.921875,0.5359920425740196,0.23734557337144108,0.5702983825759531,0.2816108037925041
-0.890625,0.7272331465238282,0.26072561081760676,0.7428782172019355,0.29035275302308655
-0.859375,0.872896340834656,0.24879680410405744,0.8794139910145129,0.2668646995211913
-0.828125,0.9790332252392842,0.21600378016437516,0.9820908902068337,0.2244985282516903
-0.796875,1.052473290887028,0.17285614835741675,1.054964526785729,0.17331468394268743
-0.765625,1.0999981621603154,0.12663454433342852,1.1029752762000824,0.12047022117594544
-0.734375,1.1278271245847415,0.08206742476985189,1.1312454385092858,0.07069556226239546
-0.703125,1.1413417472467249,0.04194370391709553,1.1446132245018195,0.02679094922536436
-0.671875,1.144981845347424,0.007640398325435269,1.1473554567617472,-0.009903312613356419
-0.640625,1.1422560242368847,-0.020442460294701932,1.1430532850505934,-0.03909027241510678
-0.609375,1.135822220871447,-0.04253775482242465,1.1345603419442467,-0.061166857426385585
-0.578125,1.127605002566744,-0.059250013051358276,1.1240392363819836,-0.07694488985732208
-0.546875,1.1189261316819987,-0.07136558087782598,1.1130391124015804,-0.08743925502246058
-0.515625,1.1106328352543957,-0.07972166127505263,1.10259352526572,-0.0937158151971567
-0.484375,1.1032143735712174,-0.08512185088717278,1.0933237054261735,-0.0967896320938436
-0.453125,1.0969020598043406,-0.088286898658982,1.085537189311382,-0.0975634947388595
-0.421875,1.0917510852679,-0.08983097157210794,1.0793157355751888,-0.09679716994552183
-0.390625,1.0877046105391344,-0.0902554425678875,1.0745894541336094,-0.0950988144771115
-0.359375,1.0846418406412486,-0.08995391449109387,1.071196250443779,-0.0929313167527537
-0.328125,1.0824124356785276,-0.08922373861255449,1.0689271570740742,-0.09062775810470496
-0.296875,1.0808598055772396,-0.08828061282557309,1.0675590263877361,-0.08841155450574108
-0.265625,1.0798357512850536,-0.08727393055660716,1.066876525271786,-0.08641807019922135
-0.234375,1.0792086622447918,-0.08630140214672934,1.0666855250816396,-0.08471553818911103
-0.203125,1.078867147172779,-0.08542210805341893,1.0668199191225893,-0.08332396338680617
-0.171875,1.0787206216487646,-0.08466759829337957,1.0671437082116741,-0.08223132763993533
-0.140625,1.0786980399778414,-0.08405095835725619,1.0675499351429014,-0.08140688010185552
-0.109375,1.0787456620801277,-0.08357395046320862,1.0679577667559024,-0.08081160643303992
-0.078125,1.0788244987009006,-0.08323243912641247,1.0683087482828246,-0.08040615346091484
-0.046875,1.078907881579703,-0.08302034572455878,1.0685630068222947,-0.0801565687769743
-0.015625,1.0789794554660133,-0.0829323673700488,1.0686959674503114,-0.08003822145445036
0.015625,1.0790317787489245,-0.08296565581368079,1.0686959674503114,-0.08003822145445036
0.046875,1.07906563980113,-0.08312059333797825,1.0685630068222947,-0.0801565687769743
0.078125,1.0790901367644605,-0.08340073273271505,1.0683087482828246,-0.08040615346091484
0.109375,1.079123518820063,-0.08381189358558062,1.0679577667559024,-0.08081160643303992
0.140625,1.079194736203437,-0.08436033242652596,1.0675499351429014,-0.08140688010185552
0.171875,1.0793455835266017,-0.0850498350034168,1.0671437082116741,-0.08223132763993533
0.203125,1.0796332356664928,-0.0858775215726176,1.0668199191225893,-0.08332396338680617
0.234375,1.0801328573192466,-0.08682811920417446,1.0666855250816396,-0.08471553818911103
0.265625,1.0809398070931835,-0.08786645056351448,1.066876525271786,-0.08641807019922135
0.296875,1.0821707475764852,-0.08892793234696764,1.0675590263877361,-0.08841155450574108
0.328125,1.0839627106940894,-0.08990698914094157,1.0689271570740742,-0.09062775810470496
0.359375,1.0864688553440442,-0.0906434955537308,1.071196250443779,-0.0929313167527537
0.390625,1.0898493032769538,-0.09090769128862167,1.0745894541336094,-0.0950988144771115
0.421875,1.0942550738693824,-0.09038450404241917,1.0793157355751888,-0.09679716994552183
0.453125,1.0998028007972094,-0.08865889827263443,1.085537189311382,-0.0975634947388595
0.484375,1.1065376683400963,-0.08520477522416499,1.0933237054261735,-0.0967896320938436
0.515625,1.114381944959378,-0.07938110275887625,1.10259352526572,-0.0937158151971567
0.546875,1.1230667427551821,-0.07044035558345975,1.1130391124015804,-0.08743925502246058
0.578125,1.132045355900708,-0.05755597019333303,1.1240392363819836,-0.07694488985732208
0.609375,1.14038792920167,-0.03987729182986148,1.1345603419442467,-0.061166857426385585
0.640625,1.1466595137216813,-0.016622277647112143,1.1430532850505934,-0.03909027241510678
0.671875,1.1487870383105703,0.012780196997242001,1.1473554567617472,-0.009903312613356419
0.703125,1.1439256267644087,0.048485524706954754,1.1446132245018195,0.02679094922536436
0.734375,1.1283412536375628,0.08995304873926223,1.1312454385092858,0.07069556226239546
0.765625,1.0973351043212562,0.13557868706557297,1.1029752762000824,0.12047022117594544
0.796875,1.0452451476698252,0.18223258441271817,1.054964526785729,0.17331468394268743
0.828125,0.9655719209324172,0.22470039483944143,0.9820908902068337,0.2244985282516903
0.859375,0.8512871069181653,0.2550365564466378,0.8794139910145129,0.2668646995211913
0.890625,0.6953917870768823,0.26185002312219025,0.7428782172019355,0.29035275302308655
0.921875,0.4917867855305955,0.22955200256783082,0.5702983825759531,0.2816108037925041
0.953125,0.23647047456346898,0.13758005415900929,0.36266532385194294,0.22379274625628076
0.984375,0.0019654718301323707,0.0015104437667734323,0.12579019712847178,0.09666840107349967
