h,error_u,error_v,rate_u,rate_v
0.7853981633974483,0.013132630935274872,0.013140546102370254,NaN,NaN
0.39269908169872414,0.004813900236817235,0.00481407907631312,1.4478778197088362,1.4486934883527272
0.19634954084936207,0.0013338973478250011,0.0013337258506750183,1.8515585978146831,1.851797690898001
0.09817477042468103,0.0003462676321235597,0.00034621276514270813,1.945688205012636,1.9457313247700703
