Umax,ReD,Nu_ref,Nu,rel_err
1.0,0.4,2.109,2.6836423636832225,0.27247148586212544
2.0,0.8,2.859,3.2948035119559314,0.15243214828818866
5.0,2.0,4.347,3.8819590307063034,0.10697974908987737
10.0,4.0,6.024,NaN,NaN
