nx,Tstart,Tend,dx,dt,L1_error,L2_error,rel_pos_error,stefan_residual_max,stefan_residual_last,ooc_L2,ooc_pos
8,0.001,0.101,0.125,0.0078125,0.1902587613414244,0.22242608829880417,0.6116088171555651,0.3984322372087015,0.00019916202877601034,NaN,NaN
16,0.001,0.101,0.0625,0.001953125,0.03796746899253986,0.04721369515025447,0.16875103200100264,0.09960805930217538,9.843919281980317e-5,2.2360487072204673,1.857712880192122
32,0.001,0.101,0.03125,0.00048828125,0.01112021379512337,0.014001487750644385,0.06628424663559179,0.02069319623900183,6.752358336701084e-6,1.7536252677819735,1.3481583851904595
64,0.001,0.101,0.015625,0.0001220703125,0.005098968412086569,0.006688999627098587,0.03118474643831546,0.004288381158563849,3.0345883411693063e-6,1.0657177612521442,1.0878255062430124
128,0.001,0.101,0.0078125,3.0517578125e-5,0.002155344132952681,0.0026391567670857176,0.014906649790618925,0.0010520581195954967,5.688452165919186e-9,1.34171341490031,1.064884474317022
