nx,h,dt,L1_error,L2_error,rel_pos_error,stefan_residual_max,stefan_residual_last,ooc_L1,ooc_L2,ooc_pos
4,0.25,0.03125,0.14847563422843138,0.21042288493156905,0.6116541134615643,0.2909737652752734,0.2909737652752734,NaN,NaN,NaN
8,0.125,0.0078125,0.038524523018513133,0.047233111263459894,0.16463627034552875,0.05593134143233549,0.05593134143233549,1.9463771956497298,2.1554211415248643,1.893433843533129
16,0.0625,0.001953125,0.0152221369135835,0.01774108100488627,0.06861408286406104,0.012324934837859697,0.004518931197356678,1.3396061930606245,1.4127046504578535,1.2627055836880614
32,0.03125,0.00048828125,0.005626861177381786,0.006305988505615396,0.03241857456415888,0.0028834612803023806,0.0009984290834792293,1.435768625810502,1.4922994736146802,1.0816840588928682
65,0.015384615384615385,0.0001183431952662722,0.0028575926649755156,0.003179607045916006,0.014892789487234125,0.0006753344739175467,0.00029274940819234085,0.9561432545737316,0.96626091680008,1.0976545236145936
128,0.0078125,3.0517578125e-5,0.0015036254079916034,0.0017007292278831388,0.007315278732635466,0.0001651422379134841,7.525625174219693e-5,0.9475496977622738,0.9233482933394462,1.049095227216336
