nx,ny,h,dt,L1_error,L2_error,rel_pos_error,stefan_residual_max,stefan_residual_last,ooc_L1,ooc_L2,ooc_pos
4,4,0.25,0.03125,0.0,0.0,0.3168699489360269,0.0,0.0,NaN,NaN,NaN
8,8,0.125,0.0078125,0.25190696350095404,0.35625024423927343,0.4393880894186119,0.03175382200002094,0.015749417035199817,NaN,NaN,-0.4716049178407773
16,16,0.0625,0.001953125,0.3349670991309491,0.41025074682296037,0.5138275651956022,0.002145755055203048,0.00198628653793792,-0.4111283960439733,-0.20361495677929356,-0.22578852539547292
32,32,0.03125,0.00048828125,0.3358453449987954,0.3928677764205107,0.5421369700261142,0.0002239019871765691,0.0001639739546820864,-0.0037776332065585796,0.06246211930311314,-0.07737310393155516
64,64,0.015625,0.0001220703125,0.27923610783796304,0.3320618131951497,0.5500759942587535,2.5955889377202775e-5,1.7398712964681283e-5,0.2663115249437516,0.24259201695992513,-0.020973551837786052
