nx,h,dt,L2_error,rel_pos_error,ooc_L2,ooc_pos
4,0.3125,0.048828125,0.11615966550062787,0.13281176426153812,NaN,NaN
8,0.140625,0.0098876953125,0.04562343390911498,0.07224120205965745,1.170363403911707,0.7625753308734639
16,0.06640625,0.00220489501953125,0.015652210367389983,0.03755122355926954,1.4258314871602695,0.872050789945865
32,0.0322265625,0.0005192756652832031,0.0057658941335419,0.019107382717310772,1.3812610061767105,0.9344827636438877
64,0.015869140625,0.0001259148120880127,0.001946779202707634,0.00961184975087001,1.532695460694448,0.9698812709779374
128,0.00787353515625,3.0996277928352356e-5,0.0007558297571403725,0.004795628706989186,1.3649560436444512,1.0030941319492026
