nx,h,dt,L1_error,L2_error,rel_pos_error,ooc_L1,ooc_L2,ooc_pos
4,0.25,0.03125,0.07961720253624473,0.11531290877045522,0.2920677251429345,NaN,NaN,NaN
8,0.125,0.0078125,0.00864248902877587,0.012405654820212894,0.06481750120804726,3.203561409006181,3.216484231780425,2.171847633162299
16,0.0625,0.001953125,0.003449620006887017,0.005302115048468593,0.015554136254260562,1.3250094165784867,1.2263580083515224,2.059085122150192
32,0.03125,0.00048828125,0.0015821455756424828,0.002553278291987708,0.003805618762701127,1.1245550999755214,1.0542171836026817,2.0310953335545996
64,0.015625,0.0001220703125,0.000473777178843728,0.0011132649746989506,0.0009448650336461393,1.739601737656149,1.197553773578446,2.009950871490812
128,0.0078125,3.0517578125e-5,0.00013660100073056738,0.0003822410823863176,0.00022943568187619055,1.7942406549718266,1.5422422685418062,2.042018489712893
