nx,Tstart,Tend,dx,dt,L1_error,L2_error,rel_pos_error,stefan_residual_max,stefan_residual_last,ooc_L2,ooc_pos
8,0.01,0.11,0.125,0.0078125,0.05688024957263886,0.08013075609367001,0.29090742053023577,0.12599533628159856,0.00038379364084975554,NaN,NaN
16,0.01,0.11,0.0625,0.001953125,0.015246901993569038,0.02392729087825115,0.1143345072328157,0.023980265590965697,0.00012053594972292331,1.7436990299299744,1.3472992092439893
32,0.01,0.11,0.03125,0.00048828125,0.003359330204112975,0.004682543477622814,0.04936190135834735,0.005462211998873004,4.503448096067298e-6,2.353292764605885,1.2117910167764239
64,0.01,0.11,0.015625,0.0001220703125,0.001561583604437419,0.001886824218496139,0.02399590195030814,0.0012769973242423307,1.9996004104117426e-7,1.3113323660811291,1.0406099247215341
128,0.01,0.11,0.0078125,3.0517578125e-5,0.0007765569421704011,0.001217499600896782,0.011548168239977069,0.00030462685412246135,1.6494102028831057e-8,0.6320387245523518,1.0551240108309625
