method,h,lp_norm,inside_cells,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,pair_order_all,pair_order_full,pair_order_cut
GibouFedkiw_Heat3D,0.08333333333333333,L^2,4,"[4, 4, 4]",0.027002612473663028,0.021050353207033964,0.016912235519349214,0.0,NaN,NaN,NaN
GibouFedkiw_Heat3D,0.05,L^2,17,"[6, 6, 6]",0.015458366822790597,0.013527232756436084,0.0074816494692785274,0.0,1.0919249054190925,0.8656817984111851,1.5965997637836726
GibouFedkiw_Heat3D,0.03571428571428571,L^2,38,"[9, 9, 9]",0.010688864678462497,0.009253803713406143,0.005349667741854053,0.0,1.096518057691079,1.1283849726075683,0.9968692623036057
