method,h,lp_norm,inside_cells,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,pair_order_all,pair_order_full,pair_order_cut
GibouFedkiw_Heat1D,0.04878048780487805,L^2,12,[13],0.0004553320810868246,0.0004055419895090025,4.979009157782217e-5,0.0,NaN,NaN,NaN
GibouFedkiw_Heat1D,0.024691358024691357,L^2,24,[26],0.00011606994857877011,0.00010801882288990687,8.051125688863246e-6,0.0,2.00746068721608,1.9429628982627434,2.6759662108633977
GibouFedkiw_Heat1D,0.012422360248447204,L^2,50,[51],2.890752582547165e-5,2.8488529897041375e-5,4.1899592843027186e-7,0.0,2.02355411690704,1.9401613546790724,4.302618206935093
