method,h,lp_norm,inside_cells,inside_cells_phase1,inside_cells_phase2,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,phase1_all_err,phase1_full_err,phase1_cut_err,phase1_empty_err,phase2_all_err,phase2_full_err,phase2_cut_err,phase2_empty_err,pair_order_all,pair_order_full,pair_order_cut
Heat_2ph_2D_He32.0_Dl1.0,2.0,L^2,8,1,7,"[1, 7]",0.713265841195725,0.4778571206829827,0.5295287833812383,0.0,0.713265841195725,0.4778571206829827,0.5295287833812383,0.0,0.08054829273441003,0.016132668870696875,0.07891618628352905,0.0,NaN,NaN,NaN
Heat_2ph_2D_He32.0_Dl1.0,1.0,L^2,48,5,43,"[5, 43]",0.4689720395303334,0.34694136340682535,0.31554154119331695,0.0,0.4689720395303334,0.34694136340682535,0.31554154119331695,0.0,0.16649740617868575,0.11183063710216391,0.12335029335009455,0.0,0.6049379728033939,0.4618874633720846,0.7468791571415183
Heat_2ph_2D_He32.0_Dl1.0,0.5,L^2,224,37,187,"[37, 187]",0.1356032996052696,0.13091845986134962,0.07101426403055053,0.0,0.1356032996052696,0.13091845986134962,0.03533570052183336,0.0,0.0867351477078061,0.04979919830774587,0.07101426403055053,0.0,1.790109627046581,1.4060233178009287,2.151649208490893
Heat_2ph_2D_He32.0_Dl1.0,0.25,L^2,960,177,783,"[177, 783]",0.0650040040826856,0.0645633353622399,0.022051366571672105,0.0,0.0650040040826856,0.0645633353622399,0.007556207625836384,0.0,0.034478866125141235,0.02650527195855861,0.022051366571672105,0.0,1.060791791316254,1.0198815198439037,1.687240770055863
Heat_2ph_2D_He32.0_Dl1.0,0.125,L^2,3968,749,3219,"[749, 3219]",0.012979729236474759,0.010803365519857366,0.011120835049299073,0.0,0.010889247925427363,0.010803365519857366,0.0013649226446143623,0.0,0.012979729236474759,0.006693310007647869,0.011120835049299073,0.0,2.3242682989296495,2.579234292451126,0.9876029432804502
Heat_2ph_2D_He32.0_Dl1.0,0.0625,L^2,16128,3101,13027,"[3101, 13027]",0.004648558956001977,0.004638883682526788,0.0002997641529817941,0.0,0.004648558956001977,0.004638883682526788,0.0002997641529817941,0.0,0.0018114398668136883,0.0017906746847495185,0.0002734932622190275,0.0,1.4814048302675231,1.21963124120578,5.213293441779288
