method,h,lp_norm,inside_cells,inside_cells_phase1,inside_cells_phase2,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,phase1_all_err,phase1_full_err,phase1_cut_err,phase1_empty_err,phase2_all_err,phase2_full_err,phase2_cut_err,phase2_empty_err,pair_order_all,pair_order_full,pair_order_cut
Heat_2ph_1D_ratio10000.0_He100.0,2.5,L^2,7,3,4,"[3, 4]",0.3082049720046087,0.17811328621026548,0.25152725904708956,0.0,0.009189272293878274,0.00840409911449485,0.003716697911424303,0.0,0.3082049720046087,0.17811328621026548,0.25152725904708956,0.0,NaN,NaN,NaN
Heat_2ph_1D_ratio10000.0_He100.0,1.25,L^2,15,7,8,"[7, 8]",0.1654253550055247,0.12849466403692197,0.10418574467143969,0.0,0.009065836815576848,0.008706071470141647,0.002528579981620954,0.0,0.1654253550055247,0.12849466403692197,0.10418574467143969,0.0,0.8977097601881903,0.47108668681530586,1.2715568665274257
Heat_2ph_1D_ratio10000.0_He100.0,0.625,L^2,31,15,16,"[15, 16]",0.06387536792051034,0.05469942269290842,0.03298538743205991,0.0,0.008845891997563266,0.00867834409524907,0.0017135194766939308,0.0,0.06387536792051034,0.05469942269290842,0.03298538743205991,0.0,1.3728487745313132,1.2321109384973747,1.6592589373949538
Heat_2ph_1D_ratio10000.0_He100.0,0.3125,L^2,63,31,32,"[31, 32]",0.02841282313199014,0.02774141428552293,0.006140232224333101,0.0,0.00815846621285396,0.008088619064304251,0.0010652758228991473,0.0,0.02841282313199014,0.02774141428552293,0.006140232224333101,0.0,1.168717509412003,0.9794842670498916,2.4254619256413616
Heat_2ph_1D_ratio10000.0_He100.0,0.15625,L^2,127,63,64,"[63, 64]",0.008282790945072428,0.008246458639220529,0.0007749488701836542,0.0,0.008282790945072428,0.008246458639220529,0.0007749488701836542,0.0,0.007198012111739292,0.007188355776936686,0.00037271917703079354,0.0,1.7783533054797693,1.7501947333692247,2.9861201874703367
Heat_2ph_1D_ratio10000.0_He100.0,0.078125,L^2,255,127,128,"[127, 128]",0.008218429542868673,0.008198302298283335,0.0005748248229319578,0.0,0.008218429542868673,0.008198302298283335,0.0005748248229319578,0.0,0.0009147799958652897,0.000914667790991893,1.4327349975136762e-5,0.0,0.011254239857289126,0.00844951326602545,0.4309787632248966
