method,h,lp_norm,inside_cells,inside_cells_phase1,inside_cells_phase2,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,phase1_all_err,phase1_full_err,phase1_cut_err,phase1_empty_err,phase2_all_err,phase2_full_err,phase2_cut_err,phase2_empty_err,pair_order_all,pair_order_full,pair_order_cut
Heat_2ph_2D_He0.1_Dl1.0,2.0,L^2,8,1,7,"[1, 7]",0.128135592428781,0.06834186001358034,0.10838874580397573,0.0,0.128135592428781,0.06834186001358034,0.10838874580397573,0.0,0.011044087229759207,0.003237154082045582,0.010559010189768073,0.0,NaN,NaN,NaN
Heat_2ph_2D_He0.1_Dl1.0,1.0,L^2,48,5,43,"[5, 43]",0.05097979636973273,0.03155645240598786,0.040039105252840476,0.0,0.05097979636973273,0.03155645240598786,0.040039105252840476,0.0,0.010394374178947292,0.009280953365604964,0.0046804827953355515,0.0,1.3296737551793214,1.1148344872592657,1.4367333268961229
Heat_2ph_2D_He0.1_Dl1.0,0.5,L^2,224,37,187,"[37, 187]",0.015318282224315471,0.01344269198105738,0.007344644484670103,0.0,0.015318282224315471,0.01344269198105738,0.007344644484670103,0.0,0.004362686932319214,0.004299443460089795,0.0007401507974189644,0.0,1.7346710867038122,1.231112950355287,2.4466451705101067
Heat_2ph_2D_He0.1_Dl1.0,0.25,L^2,960,177,783,"[177, 783]",0.0038679587685228277,0.0037919087770309483,0.0007632384042147608,0.0,0.0038679587685228277,0.0037919087770309483,0.0007632384042147608,0.0,0.0013133349311398547,0.0013095472993382114,9.967202289571402e-5,0.0,1.9856102028243252,1.8258259130656809,3.2664869882210508
Heat_2ph_2D_He0.1_Dl1.0,0.125,L^2,3968,749,3219,"[749, 3219]",0.0010084900083349316,0.0009902416663985045,0.0001909804676916041,0.0,0.0010084900083349316,0.0009902416663985045,0.0001909804676916041,0.0,0.000353193636618069,0.0003501094931129422,4.657346647711747e-5,0.0,1.9393756256782908,1.9370716973821485,1.998708670089613
Heat_2ph_2D_He0.1_Dl1.0,0.0625,L^2,16128,3101,13027,"[3101, 13027]",0.0002468034537502544,0.0002444652088973265,3.389257177967543e-5,0.0,0.0002468034537502544,0.0002444652088973265,3.389257177967543e-5,0.0,8.903953357895753e-5,8.841813010482499e-5,1.0501086073571208e-5,0.0,2.0307623017339536,2.018151492430294,2.4943840775542605
