method,h,lp_norm,inside_cells,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,pair_order_all,pair_order_full,pair_order_cut,order_all,order_full,order_cut,order_all_fit,order_full_fit,order_cut_fit
Scalar_2D_Diffusion_Heat_Robin_BE,0.16,L^2,50957,"[256, 256]",0.16337921529670255,0.16280106054847027,0.013732540743049384,0.0,NaN,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0
Scalar_2D_Diffusion_Heat_Robin_BE,0.08,L^2,50957,"[256, 256]",0.08921319540251531,0.08889598723330339,0.007516494378614768,0.0,0.8728954409263906,0.8729198955493209,0.8694667075433381,1.0,1.0,1.0,1.0,1.0,1.0
Scalar_2D_Diffusion_Heat_Robin_BE,0.04,L^2,50957,"[256, 256]",0.04694879206677407,0.0467831324431314,0.003940506989920442,0.0,0.9261690733591695,0.9261298342493153,0.9316786991973415,1.0,1.0,1.0,1.0,1.0,1.0
Scalar_2D_Diffusion_Heat_Robin_BE,0.02,L^2,50957,"[256, 256]",0.023942824941381287,0.02386144628651685,0.0019723709816613726,0.0,0.971494658090792,0.9713069728860032,0.9984503277576946,1.0,1.0,1.0,1.0,1.0,1.0
Scalar_2D_Diffusion_Heat_Robin_BE,0.01,L^2,50957,"[256, 256]",0.012147230980756433,0.012105827072854366,0.0010020835204688971,0.0,0.9789658994484528,0.978979842148849,0.9769281750011958,1.0,1.0,1.0,1.0,1.0,1.0
Scalar_2D_Diffusion_Heat_Robin_BE,0.005,L^2,50957,"[256, 256]",0.006118868508439047,0.006097773438068189,0.0005076523628992035,0.0,0.9892906803016408,0.9893471946361311,0.9810899657175467,1.0,1.0,1.0,1.0,1.0,1.0
Scalar_2D_Diffusion_Heat_Robin_BE,0.0025,L^2,50957,"[256, 256]",0.0030712839465536703,0.003060413181422492,0.0002581786965141696,0.0,0.9944229980581215,0.9945561062219385,0.9754709244520495,1.0,1.0,1.0,1.0,1.0,1.0
