method,h,lp_norm,inside_cells,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,pair_order_all,pair_order_full,pair_order_cut
Scalar_2D_Diffusion_Heat_Moving_CFL_1p0,1.0,L^2,5,"[4, 4]",1.085986184857532,0.9186515431644208,0.5791764290292258,0.0,NaN,NaN,NaN
Scalar_2D_Diffusion_Heat_Moving_CFL_1p0,0.5,L^2,21,"[7, 7]",0.35350410820803835,0.24715058971466178,0.2527483739288058,0.0,1.6192068639585435,1.894127382890682,1.1963010791920554
Scalar_2D_Diffusion_Heat_Moving_CFL_1p0,0.25,L^2,97,"[13, 13]",0.20757914401405997,0.131519061270387,0.1605983734418441,0.0,0.768065481383077,0.9101184420320567,0.6542445293429814
Scalar_2D_Diffusion_Heat_Moving_CFL_1p0,0.125,L^2,449,"[26, 26]",0.06897209739124402,0.05929574354588755,0.03523017195370446,0.0,1.5895767560040603,1.1492714548506897,2.188573859591609
Scalar_2D_Diffusion_Heat_Moving_CFL_1p0,0.0625,L^2,1925,"[51, 51]",0.024556560192478136,0.02015118713924782,0.014034040949270963,0.0,1.4899043521787843,1.5570637140638066,1.3278810393468492
Scalar_2D_Diffusion_Heat_Moving_CFL_1p0,0.03125,L^2,7909,"[102, 102]",0.01149793370419821,0.010824349565016607,0.0038776198834416403,0.0,1.0947338691013617,0.8965844967351372,1.8556871865833566
