method,h,lp_norm,inside_cells,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,pair_order_all,pair_order_full,pair_order_cut
Scalar_1D_Diffusion_Heat_Moving_ConstantBC,0.0625,L^2,7,[8],1.3380382971387235e-6,1.336482725984944e-6,6.450122288568034e-8,0.0,NaN,NaN,NaN
Scalar_1D_Diffusion_Heat_Moving_ConstantBC,0.03125,L^2,15,[16],3.850228058764192e-8,3.849603133761554e-8,6.936726193451648e-10,0.0,5.119031696132495,5.117587658618864,6.538927763153592
Scalar_1D_Diffusion_Heat_Moving_ConstantBC,0.015625,L^2,31,[32],2.6875054403217963e-9,2.6874485605890585e-9,1.748502064765114e-11,0.0,3.840604322553769,3.840400676037471,5.310063534834029
Scalar_1D_Diffusion_Heat_Moving_ConstantBC,0.0078125,L^2,63,[64],1.1208743971116789e-9,1.1208713465030473e-9,2.615088701177956e-12,0.0,1.2616430534047138,1.2616164456412229,2.741187712502188
