Iteration,MINRES,LSQR,BiCGSTAB,CG,IDRS,GMRES
1,0.10210387428038036,0.15828159884864537,0.022571337018045864,0.10396159353782014,0.1416351554367764,0.10210387428038034
2,0.05284925646598929,0.09944469109103327,0.005612484361513983,0.061356379048068316,0.219875073102325,0.05252056315473205
3,0.032050751825018764,0.07279016446505894,0.001935223192239255,0.03905493121257208,0.05501417484958951,0.031243360684282056
4,0.02289492038052728,0.05568327829171298,0.0008805152717453981,0.031121151285619694,0.05686661646367185,0.022007217523832407
5,0.016424291737849622,0.044277783368112195,0.0006147794866504655,0.02190722990797949,0.642231357183014,0.01547638236275218
6,0.01167297567976855,0.0389288884503029,0.0004183850203691107,0.014959045150030291,0.01781842403228379,0.010691888271057296
7,0.008448082317288812,0.03538499902616956,0.00019525735099789866,0.010663594133263574,0.03056593927830964,0.00747438491262779
8,0.005882047307249934,0.03201116157467458,7.40094284255343e-5,0.006983580377661171,0.026218562694576213,0.005020782109214093
9,0.004390006330809963,0.028952876868990667,1.9036785767376667e-5,0.0053843087256153985,0.01551171680939889,0.0036164144339963836
10,0.003461001146926885,0.0261558416102096,4.867501475533169e-6,0.00427004097012118,0.005232134518922142,0.0027109139751996083
11,0.0027780287112077347,0.0241117227366246,1.607215001352588e-6,0.0032524400064331415,0.003357202031965532,0.002015368326384069
12,0.0022572765161192176,0.022417983323953318,4.019139706823439e-7,0.0023119032058734044,0.03249551265851425,0.0014639662463432448
13,0.001929641555307304,0.02082448387930169,1.2858810132950281e-7,0.0018810226061227783,0.0037975713729030613,0.0010991631895078211
14,0.0017700617299073746,0.019259613028669527,3.323709971159809e-8,0.00176037840742419,0.0018821314514379354,0.0009065794816930459
15,0.0016986645879581417,0.017976546415227553,9.786006354209246e-9,0.0017601233712082915,0.0035240911333917005,0.0007982449762230035
16,0.0016786124285106815,0.016498834552837592,2.805268899439644e-9,0.00185988974743367,0.0008169138894159021,0.0007293209166292955
17,0.0016781885303579155,0.014934513573932181,6.086877937609416e-10,0.0016711580888280966,0.0008829784745482155,0.0006463612445821184
18,0.001671381531319506,0.01416928588422975,1.853595474153664e-10,0.001233109917145423,0.0007633668176304503,0.0005472748991507036
19,0.0016346228790529444,0.013247188992006657,3.6854595174624655e-11,0.0012339691653044246,0.0009667132899624981,0.00047779906587720755
20,0.0015752066336201177,0.012260541965347411,1.0067997628540708e-11,0.0010863282576015964,0.0009016311584583574,0.00040310837262978803
21,0.0015328460860670997,0.01142193647164157,3.5658025711382054e-12,0.0009470499041707131,0.0027671995445366824,0.0003630704669162253
22,0.0015234026489400311,0.01057932516422017,4.5332824234097486e-13,0.0007732157264554653,0.0007468706304497253,0.0003166525669858051
23,0.0015199376990202246,0.009480970134150647,2.244242843556421e-13,0.0005319369464837033,0.0004911301257340673,0.000271537722880003
24,0.0014966881839438054,0.008812800422593026,4.8907848295171296e-14,0.00046520103600868176,0.001765074388539859,0.00023529080760680544
25,0.001463268300962932,0.00825551810446308,7.232989183952861e-15,0.000363887448624311,0.00020396109165934259,0.00021249431683562417
26,0.0014485914503413178,0.007585334662907938,3.252957786444733e-16,0.00033062328163667703,0.00022700317734825133,0.00018461868005687559
27,0.0014485749706503374,0.00700124604514334,5.83970038804592e-17,0.00031668528885278065,0.00018382953486736927,0.00015671387864832505
28,0.0014391329929342128,0.006534008689875169,,0.0002690825534305219,0.00029047365472577156,0.00012325505887739697
29,0.0014172044468588093,0.005921264733575865,,0.00022782152572612324,4.204384121972498e-5,0.00010104290846848155
30,0.0014042294443502123,0.005500291925988807,,0.00020325935096223753,3.735875784024871e-5,7.727502907079813e-5
31,0.0014041002554856553,0.005013606553764465,,0.000189051042816412,0.0001473164760166524,5.555698424171215e-5
32,0.0013933204309459787,0.004689896205822438,,0.00017894972193799568,0.000205396471424763,3.5157413887381496e-5
33,0.0013705879711745912,0.004443638547789412,,0.00018655061535309973,3.386204477523444e-5,2.420673772189371e-5
34,0.0013676538935805255,0.004123727061973235,,0.0001924454616254602,4.2291729620628785e-5,1.843196665789598e-5
35,0.0013618416491601214,0.003943294797263946,,0.00017766619084298255,4.061327988990882e-6,1.3296024355675308e-5
36,0.0013423090077119353,0.003466984006099556,,0.00016327765526502743,3.268149267159118e-6,8.612878851286652e-6
37,0.0013372621376321447,0.003138485736529496,,0.00015411498675632954,7.290574898603583e-6,5.0053543321962324e-6
38,0.001332818361139796,0.0029913605935827773,,0.0001479955063076888,1.658081771851158e-6,3.031875822974428e-6
39,0.00131797739048049,0.0027822220742468907,,0.00014285441944151287,1.120591469336703e-6,2.1296584231537007e-6
40,0.0013143164945263245,0.0025222317542794126,,0.00014447618657981347,7.213520529295555e-7,1.2595303657985078e-6
41,0.0013122924863412367,0.002374268551418489,,0.00015234930314396964,5.256287834655989e-7,9.562456531193196e-7
42,0.0012993542260492084,0.0020235024426687575,,0.00015301793986058313,6.802519825276123e-7,7.006176877647359e-7
43,0.001296732501943957,0.0019471641948245635,,0.00014702400971471684,5.211474878304032e-7,4.872128845774259e-7
44,0.0012937146972093491,0.0018764053198408429,,0.00014298138606393167,4.23287904576963e-7,3.2148986059167864e-7
45,0.0012828469081287094,0.0016729607212068274,,0.00013694742557888263,3.2916087125629364e-7,1.9984661953212134e-7
46,0.0012818561315290679,0.001601117911870426,,0.00012640493451511188,3.2134820142872524e-7,1.3899909878943836e-7
47,0.001277049869369931,0.0014286934702610467,,0.00011749870139357043,3.126716208613359e-8,9.405392839041183e-8
48,0.001269151233545837,0.001382776475529656,,0.00011294097188762307,2.2250781345401436e-8,6.747296932500948e-8
49,0.0012690608111516999,0.0013404920245559417,,0.00011082127141345935,1.8556558834264084e-8,4.43301438795723e-8
50,0.0012604025648904553,0.0012649827299641972,,0.0001103121490302664,1.7996703484813992e-8,2.887135163657705e-8
51,0.001254751656969175,0.0012275165416142859,,0.00011160076210057801,1.7565348276116095e-8,2.0373643662542544e-8
52,0.0012527922550496227,0.001130402735079338,,0.00011361091144912739,1.7420552739754875e-8,1.4455932188276343e-8
53,0.001243245352248923,0.00110966229402264,,0.0001146041469547544,1.9044398413197633e-8,9.242820402417522e-9
54,0.001242486455520674,0.0010878835118258337,,0.0001134364158881719,9.575866251056528e-9,5.906896951257642e-9
55,0.0012353243739082463,0.0010130628581332274,,0.00010976365737560783,4.6459631822395775e-9,3.995360706400535e-9
56,0.001229715667462543,0.0009976340458246443,,0.00010432465721022873,3.3824303991363515e-9,2.911451704228789e-9
57,0.001228359279781417,0.0009692659783023915,,9.888944465417617e-5,8.293856377156919e-10,1.8934558385884976e-9
58,0.001219301360784591,0.0009605850902017971,,9.498784933810568e-5,7.359310805023125e-10,1.2712284832913713e-9
59,0.001219140025410945,0.0009514934591967348,,9.284754674464972e-5,2.4313816859923484e-10,7.981664890010657e-10
60,0.0012133864430480892,0.0009070380539914164,,9.175992428328539e-5,5.300775675907446e-10,6.628099712836379e-10
61,0.0012097590339692607,0.0008964481770046353,,9.117652835134416e-5,5.417642464573446e-11,5.952831941276939e-10
62,0.0012080659483494497,0.0008893002251916189,,9.115824399628566e-5,1.4580706541515245e-10,5.214145516152259e-10
63,0.0012009510859448322,0.0008818341941601865,,9.186360251395184e-5,1.0351179525307092e-10,4.685783369475737e-10
64,0.0012009297520768963,0.0008753970445551085,,9.30997110719073e-5,4.3899693450563543e-11,4.1448859183350617e-10
65,0.0011951224657595705,0.0008633933091677104,,9.457629954092704e-5,5.5109629776526485e-11,3.7146051948174717e-10
66,0.0011938514662033267,0.0008605342404873718,,9.627190832288299e-5,3.171169050378582e-11,3.1416983544769993e-10
67,0.0011907851477036457,0.0008584662332375222,,9.821764481085778e-5,1.8312594664035923e-11,2.631994470186635e-10
68,0.001186962026203173,0.0008453667776309716,,9.999773093080697e-5,3.770879998581302e-12,2.0805933413364894e-10
69,0.0011864015816833561,0.0008431932119375,,0.00010075793576160125,4.123783757301508e-12,1.6034821497776774e-10
70,0.0011811482636984371,0.0008370124865474173,,9.990975186037551e-5,2.8215470817707602e-12,1.0785094379930823e-10
71,0.0011810632726127475,0.0008354859379684015,,9.778422307073202e-5,1.4428144224646596e-12,7.48602467132106e-11
72,0.0011766195169308062,0.0008328777341492455,,9.542873385354454e-5,1.3400867837753204e-12,5.3992733427296256e-11
73,0.0011752066290783864,0.0008207941241524292,,9.378882851855395e-5,2.854441728989429e-13,3.455461346132043e-11
74,0.001172991413808108,0.0008171390130077013,,9.312623244671947e-5,2.8252332015656246e-13,2.314842430756982e-11
75,0.001169227478399553,0.0008137337413414746,,9.305522069147618e-5,1.5483175212049523e-13,1.584889844314283e-11
76,0.0011685883455913653,0.0008129630131953316,,9.301638329406107e-5,6.397997466499529e-14,1.072654196718398e-11
77,0.0011637150766190282,0.0007934091454491743,,9.278345665918908e-5,4.2539152981834555e-14,6.910525618574198e-12
78,0.0011637118545168414,0.0007899302335759985,,9.262315472765313e-5,2.067414313298965e-14,4.3102264669273835e-12
79,0.00115901051795422,0.0007766961215286773,,9.304006821580635e-5,7.382547267246021e-14,3.07593727846056e-12
80,0.0011582770225376504,0.0007665934411653501,,9.438395485188804e-5,7.237831318431036e-15,1.9718789376690543e-12
81,0.0011548173003675434,0.0007647674387369877,,9.661419073437523e-5,5.122987168277409e-15,1.5032840879874509e-12
82,0.0011525372137802252,0.0007373973054050891,,9.93139087060559e-5,4.4666799209907546e-14,1.133974429798285e-12
83,0.0011506752017896571,0.0007338911314544433,,0.00010189053399260633,1.1573492778022426e-14,7.606136834045301e-13
84,0.0011469326643507981,0.000714539124948889,,0.00010383041240879174,1.0625555557924213e-14,5.241673322331238e-13
85,0.0011464050439002479,0.0006958436267840996,,0.0001048680631790806,1.2391285845707383e-15,3.4468672254960643e-13
86,0.0011417310841389256,0.0006394396405687803,,0.00010500525500394065,1.4698333085995432e-15,2.3371959143903327e-13
87,0.0011417221465370826,0.0006313969901660026,,0.00010442424733074252,3.10917717838212e-16,1.4755544065427782e-13
88,0.00113721105486482,0.0006230180411530159,,0.00010338241093983458,5.891786232469596e-16,1.0270775545578118e-13
89,0.0011368966998367945,0.00047764905873490585,,0.00010213667900322802,5.606643455553224e-17,7.807954126854801e-14
90,0.0011331273287285486,0.0004694740621805533,,0.00010089632296496763,,5.719370356367245e-14
91,0.0011319077377985127,0.00045229021780141964,,9.979017699976927e-5,,4.3723063863860505e-14
92,0.0011292727653026099,0.00042129270235578636,,9.88494213271049e-5,,3.552022709117772e-14
93,0.0011271116501089496,0.00031249601566758214,,9.801902117108174e-5,,2.9636820508949035e-14
94,0.001125802458502316,0.00030630621514094836,,9.72044526760104e-5,,2.6045189197663374e-14
95,0.0011227461234935348,0.0002941949115679095,,9.63397083710813e-5,,2.3005696988874647e-14
96,0.001122337332843304,0.00022417402509053468,,9.544382701248291e-5,,2.0296656512643978e-14
97,0.0011187980016687425,0.0002037431018028975,,9.463375859360166e-5,,1.7862320249987182e-14
98,0.0011187822497766937,0.00018932629343877726,,9.408506761771293e-5,,1.5553668874542644e-14
99,0.001115194380080976,0.00018394134842186958,,9.39616933765846e-5,,1.2011955003190372e-14
100,0.0011150892926360529,0.00016999652146719284,,9.43497005943635e-5,,9.962181886832948e-15
101,0.0011119962016515026,0.00013291683483381323,,9.522269913264313e-5,,8.439800646054027e-15
102,0.0011114895605013882,0.0001229697635867847,,9.644953501815222e-5,,6.7037681750804985e-15
103,0.001109291244310791,0.000117507509613717,,9.783830368793552e-5,,5.818905371455597e-15
104,0.0011081044514072802,0.00011066217492266058,,9.919769427195241e-5,,5.086352778976768e-15
105,0.0011067162125999127,9.069369470469865e-5,,0.00010038965529555502,,4.505600270983274e-15
106,0.0011048558088145933,7.567224461281112e-5,,0.00010135171550662507,,3.948560683795557e-15
107,0.0011041757526597008,7.218363403304443e-5,,0.0001020837124640147,,3.493884671526246e-15
108,0.001101829573076944,7.044541596382753e-5,,0.00010261257744640678,,3.02285078841381e-15
109,0.0011016508910651872,6.364793589511471e-5,,0.00010295764282595251,,2.519022629429795e-15
110,0.0010989655773821262,4.398934012146269e-5,,0.00010311379285487188,,1.8450300799811615e-15
111,0.0010989633005945986,3.9072249253188945e-5,,0.00010305683276466854,,1.3655971705324638e-15
112,0.0010962656462582378,3.837560776637167e-5,,0.00010276341535344954,,1.0416714826135336e-15
113,0.00109616717554846,2.236795094811125e-5,,0.00010223215930576764,,6.932130438080629e-16
114,0.001093730782835553,1.951472254431031e-5,,0.00010149441525026313,,4.697745983599572e-16
115,0.0010933054354088517,1.8929377818834037e-5,,0.00010061026814050597,,3.1900942299985973e-16
116,0.0010912817653467492,1.805609347489405e-5,,9.965340941020556e-5,,2.1044346912582841e-16
117,0.001090433878622516,1.674290222135332e-5,,9.869323262324147e-5,,1.461989087447498e-16
118,0.0010890087156566694,1.4433094370194013e-5,,9.77822523255381e-5,,1.0147285904056093e-16
119,0.0010876636649813775,9.68486664313077e-6,,9.695305623555814e-5,,
120,0.0010868310778867228,9.591973126321617e-6,,9.622414429439943e-5,,
121,0.0010848993404478158,7.384493400106273e-6,,9.561039091050812e-5,,
122,0.0010844716604350782,4.762910891941251e-6,,9.513256571917953e-5,,
123,0.0010820754562958312,4.66909131667168e-6,,9.482142295863289e-5,,
124,0.00108190998054823,4.5393037135867746e-6,,9.47145773261535e-5,,
125,0.0010793230323754303,3.733982953683398e-6,,9.484745793183851e-5,,
126,0.0010793048900826698,3.2095395941271953e-6,,9.524182251137308e-5,,
127,0.001076731500257739,2.7237259031887993e-6,,9.589597281968317e-5,,
128,0.0010767087198822838,2.3149247378541983e-6,,9.678004878754218e-5,,
129,0.0010742869527490793,2.2807314814485757e-6,,9.783812184065193e-5,,
130,0.001074102060876534,2.0374267853589398e-6,,9.89967888378386e-5,,
131,0.0010719345772647751,1.2969870186960717e-6,,0.00010017802149292775,,
132,0.0010714598082533766,1.2188767615702382e-6,,0.0001013126339489211,,
133,0.001069608941108839,1.1580266626526727e-6,,0.00010235044392208512,,
134,0.0010687810852803364,1.1119877820672369e-6,,0.00010326433106629935,,
135,0.0010673035974016316,1.0636332136001717e-6,,0.00010404762380909898,,
136,0.0010661164649823592,5.637833207782801e-7,,0.0001047066304785031,,
137,0.0010650438607648328,5.39238769215499e-7,,0.00010525161933147394,,
138,0.0010635110153536726,5.021472771250013e-7,,0.00010568960451677156,,
139,0.0010628084149060773,4.839273750309401e-7,,0.00010602110485689006,,
140,0.0010609869870129565,4.6005843413622173e-7,,0.00010624127942235036,,
141,0.0010605879281535122,3.4540000041068997e-7,,0.00010634423572310585,,
142,0.0010585851053549556,3.2536104467613185e-7,,0.00010632836214150856,,
143,0.0010584182318477994,2.6936885142760923e-7,,0.0001062004594316216,,
144,0.001056322038391277,2.3227343044512352e-7,,0.00010597714287972347,,
145,0.0010562910904975405,2.2574485133376344e-7,,0.00010568312357978064,,
146,0.00105415542700585,1.8785330828862106e-7,,0.00010534710526070192,,
147,0.0010541536171765197,1.6616513949598203e-7,,0.00010499676390125774,,
148,0.001052058300049672,1.2369225424997672e-7,,0.00010465442762084905,,
149,0.0010520013260216083,1.1652821220644293e-7,,0.00010433469694229055,,
150,0.0010500553646008862,1.1170727683749507e-7,,0.00010404454969686806,,
151,0.0010498767550145575,1.072263015006389e-7,,0.00010378570994810283,,
152,0.0010481589333850416,1.0167269179074817e-7,,0.00010355843541897564,,
153,0.0010478026495552696,6.53571784114515e-8,,0.00010336553231592017,,
154,0.0010463477707990236,5.323322652201012e-8,,0.00010321540321839179,,
155,0.0010457823567089318,5.1427483423996476e-8,,0.00010312325228777968,,
156,0.0010446125119085937,4.986855454472127e-8,,0.00010311010644778988,,
157,0.001043829817492509,4.716198500066505e-8,,0.00010319989565232328,,
158,0.001042954684015783,3.133050687924036e-8,,0.0001034153016653544,,
159,0.0010419520871329517,2.731726276196802e-8,,0.00010377332423663774,,
160,0.0010413477638761856,2.4946261178563083e-8,,0.00010428150696041162,,
161,0.0010401355476895937,2.4447707758791468e-8,,0.00010493556622858436,,
162,0.0010397539994900706,1.8194594886098125e-8,,0.00010571885781835126,,
163,0.0010383751269730176,1.373417783451587e-8,,0.00010660376821956921,,
164,0.0010381677231263262,1.3083749191142649e-8,,0.00010755477957140223,,
165,0.0010366849148266564,1.2760256567316142e-8,,0.00010853266369228308,,
166,0.0010366031337124743,1.1627801831347774e-8,,0.00010949905273874031,,
167,0.0010350698221769626,1.0955073420023275e-8,,0.00011042055979940577,,
168,0.001035056974389045,6.355395986746348e-9,,0.00011127171986898118,,
169,0.0010335170395319637,6.217633703695933e-9,,0.00011203628871321598,,
170,0.001033514071826561,5.970030276192786e-9,,0.00011270681666463091,,
171,0.0010320169271501498,4.578901864689333e-9,,0.00011328280405896148,,
172,0.0010319703155794678,4.243450025669789e-9,,0.00011376803492048832,,
173,0.0010305639810338752,3.251489586938115e-9,,0.00011416780115280838,,
174,0.001030424885682325,3.03865765182116e-9,,0.00011448665690516445,,
175,0.0010291380160454308,2.801291598016254e-9,,0.00011472712514777345,,
176,0.001028866223148426,2.7530897967231178e-9,,0.00011488949192306419,,
177,0.0010277130307446707,2.5390742169939903e-9,,0.00011497254831469085,,
178,0.00102728864609843,2.180140316278233e-9,,0.00011497493860032736,,
179,0.001026289755636448,1.7529892799598835e-9,,0.00011489668038355617,,
180,0.0010257118537387235,1.329445093751722e-9,,0.00011474044420126186,,
181,0.001024895662555401,1.2483608860637002e-9,,0.00011451229530731998,,
182,0.0010241634298532986,1.1719777868176674e-9,,0.00011422176916578016,,
183,0.0010235429070916742,9.317371270058138e-10,,0.00011388132677650931,,
184,0.001022645813240329,8.837225994772627e-10,,0.00011350537320481825,,
185,0.0010222041366143785,8.267749942225426e-10,,0.00011310909502035331,,
186,0.0010211365512404022,6.312377620353613e-10,,0.00011270737282173067,,
187,0.0010208397526825044,5.100691451754672e-10,,0.00011231396555652278,,
188,0.0010196210234434072,5.037571773213007e-10,,0.00011194106795215216,,
189,0.001019437345091308,4.148330827313875e-10,,0.00011159923876262138,,
190,0.0010181105191120507,3.319989380376862e-10,,0.00011129761010816245,,
191,0.0010180149221846303,3.1141765070408825e-10,,0.00011104423372795498,,
192,0.0010166256428608767,2.671556137626639e-10,,0.00011084640593203976,,
