method,h,lp_norm,inside_cells,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,pair_order_all,pair_order_full,pair_order_cut,trunc_all,trunc_full,trunc_cut,trunc_pair_order_all,trunc_pair_order_full,trunc_pair_order_cut,trunc_max_all,trunc_max_full,trunc_max_cut,trunc_pair_order_max_all,trunc_pair_order_max_full,trunc_pair_order_max_cut
JohansenColella_P1,0.025,L^1,411,"[36, 36]",3.9355356303313444e-5,2.1396509926452703e-5,1.795884637686078e-5,0.0,NaN,NaN,NaN,0.026150806257080838,0.00606513856324491,0.05827680770166235,NaN,NaN,NaN,0.3384883279419301,0.09400733817683107,0.3384883279419301,NaN,NaN,NaN
JohansenColella_P1,0.0125,L^1,1825,"[72, 72]",1.0845817418401935e-5,6.45755317212595e-6,4.388264246275966e-6,0.0,1.8594212124038372,1.7283159690429384,2.0329723709615393,0.01996077260920595,0.0020065590516276073,0.06175073600449751,0.38968786372027625,1.5958169910692257,-0.08353448088644501,0.6091846747279179,0.03949612884265174,0.6091846747279179,-0.847773562017448,1.2510621209085866,-0.847773562017448
JohansenColella_P1,0.00625,L^1,7723,"[144, 144]",2.949131008594126e-6,1.9203985768555966e-6,1.0287324317385342e-6,0.0,1.8787769714701448,1.7495818457090377,2.0927826094059725,0.013802128025774869,0.0012610231333095565,0.060531810192071094,0.5322768429514063,0.6701288722807683,0.028762837013729815,0.8971938345450006,0.03200991788866149,0.8971938345450006,-0.5585400579847987,0.303192280390334,-0.5585400579847987
JohansenColella_P1,0.003125,L^1,31691,"[288, 288]",7.827563367324683e-7,5.295167308176953e-7,2.5323960591478045e-7,0.0,1.9136547246158462,1.8586575979684723,2.0222928324138243,0.009598455298673274,0.0008455041596933176,0.058140960429757874,0.5240165668840089,0.5767109844609459,0.058138591677935995,0.392498387311384,0.03453311097559932,0.392498387311384,1.1927329800528188,-0.1094613316380481,1.1927329800528188
JohansenColella_P1,0.0015625,L^1,128577,"[576, 576]",2.2615056306675088e-7,1.635072074056977e-7,6.264335566105661e-8,0.0,1.791279694639949,1.6953220377014897,2.015269653909422,0.0076775110385003155,0.0005350974486401346,0.06683251955833644,0.32216356683989383,0.6600102022483293,-0.20099536068714222,1.9224479388256408,0.03332958087888281,1.9224479388256408,-2.292185898154802,0.05117713214643115,-2.292185898154802
