Iteration,GMRES (No Precond),BICGSTAB + AMG(SA),BICGSTAB + Diag+ILU0,GMRES + AMG(RS),GMRES + ILU0,GMRES + Diagonal,GMRES + AMG(SA),BICGSTAB + Diagonal,GMRES + Diag+ILU0,GMRES + ILU(0.01),BICGSTAB + ILU(0.01),BICGSTAB + AMG(RS),BICGSTAB (No Precond),BICGSTAB + LLDL,GMRES + LLDL,BICGSTAB + ILU0
39,2.1296584231537007e-6,,,1.2192154246358035e-13,,,1.0535933822376004e-10,,0.00010709533221714818,,,,,,,
40,1.2595303657985078e-6,,,3.0526535378905155e-14,,,6.041295408616641e-11,,6.32149075641475e-5,,,,,,,
41,9.562456531193196e-7,,,1.6916747571124227e-14,,,4.6108811764682705e-11,,5.5339259192750826e-5,,,,,,,
42,7.006176877647359e-7,,,1.68882514862806e-14,,,3.945854767211129e-11,,3.859333693689458e-5,,,,,,,
43,4.872128845774259e-7,,,4.9614768689783455e-15,,,1.7614595854305165e-11,,3.373475403004687e-5,,,,,,,
44,3.2148986059167864e-7,,,3.825476611955623e-15,,,1.1425727686230165e-11,,2.380426173525741e-5,,,,,,,
45,1.9984661953212134e-7,,,2.424967754585633e-15,,,1.0217325000916915e-11,,1.541183361951428e-5,,,,,,,
46,1.3899909878943836e-7,,,,,,9.741946786211971e-12,,1.1418151220708064e-5,,,,,,,
47,9.405392839041183e-8,,,,,,5.6578495216057725e-12,,6.382542001114245e-6,,,,,,,
48,6.747296932500948e-8,,,,,,4.3211606727330054e-12,,4.2394260938994475e-6,,,,,,,
49,4.43301438795723e-8,,,,,,3.5491977056251684e-12,,3.011281411692487e-6,,,,,,,
50,2.887135163657705e-8,,,,,,8.939865229276695e-13,,2.070011259290291e-6,,,,,,,
51,2.0373643662542544e-8,,,,,,2.3083839436543953e-13,,1.4134288120034843e-6,,,,,,,
52,1.4455932188276343e-8,,,,,,5.863266206508744e-14,,8.463561990359486e-7,,,,,,,
53,9.242820402417522e-9,,,,,,4.023479487459992e-14,,5.946379422783672e-7,,,,,,,
54,5.906896951257642e-9,,,,,,3.337316630838628e-14,,4.3396324600492573e-7,,,,,,,
55,3.995360706400535e-9,,,,,,1.8903063698117492e-14,,2.784025606321798e-7,,,,,,,
56,2.911451704228789e-9,,,,,,1.2520800053600405e-14,,1.8418162221059347e-7,,,,,,,
57,1.8934558385884976e-9,,,,,,4.2862910983917314e-15,,1.1421459346194946e-7,,,,,,,
58,1.2712284832913713e-9,,,,,,1.4842728236477844e-15,,8.020448008579868e-8,,,,,,,
59,7.981664890010657e-10,,,,,,,,5.408742877605609e-8,,,,,,,
60,6.628099712836379e-10,,,,,,,,3.672370563384369e-8,,,,,,,
61,5.952831941276939e-10,,,,,,,,3.036638871292135e-8,,,,,,,
62,5.214145516152259e-10,,,,,,,,2.7951946645154705e-8,,,,,,,
63,4.685783369475737e-10,,,,,,,,2.2015990142235152e-8,,,,,,,
64,4.1448859183350617e-10,,,,,,,,1.3315559606454292e-8,,,,,,,
65,3.7146051948174717e-10,,,,,,,,8.851416610297702e-9,,,,,,,
66,3.1416983544769993e-10,,,,,,,,6.16526407905194e-9,,,,,,,
67,2.631994470186635e-10,,,,,,,,4.134171570430402e-9,,,,,,,
68,2.0805933413364894e-10,,,,,,,,2.8571931931522837e-9,,,,,,,
69,1.6034821497776774e-10,,,,,,,,2.013821527466525e-9,,,,,,,
70,1.0785094379930823e-10,,,,,,,,1.2995089026009464e-9,,,,,,,
71,7.48602467132106e-11,,,,,,,,9.010441154785718e-10,,,,,,,
72,5.3992733427296256e-11,,,,,,,,6.100170240079848e-10,,,,,,,
73,3.455461346132043e-11,,,,,,,,3.6938995379221426e-10,,,,,,,
74,2.314842430756982e-11,,,,,,,,2.714692734544912e-10,,,,,,,
75,1.584889844314283e-11,,,,,,,,1.8591099074381603e-10,,,,,,,
76,1.072654196718398e-11,,,,,,,,9.586149371582946e-11,,,,,,,
77,6.910525618574198e-12,,,,,,,,7.574309028507906e-11,,,,,,,
78,4.3102264669273835e-12,,,,,,,,4.972842023961836e-11,,,,,,,
79,3.07593727846056e-12,,,,,,,,3.433258199876735e-11,,,,,,,
80,1.9718789376690543e-12,,,,,,,,2.2787044998460226e-11,,,,,,,
81,1.5032840879874509e-12,,,,,,,,2.0546304497208484e-11,,,,,,,
82,1.133974429798285e-12,,,,,,,,1.900776435415572e-11,,,,,,,
83,7.606136834045301e-13,,,,,,,,1.2544064657145866e-11,,,,,,,
84,5.241673322331238e-13,,,,,,,,8.770612171812401e-12,,,,,,,
85,3.4468672254960643e-13,,,,,,,,5.925634302321811e-12,,,,,,,
86,2.3371959143903327e-13,,,,,,,,4.05144513534389e-12,,,,,,,
87,1.4755544065427782e-13,,,,,,,,2.5563575004813824e-12,,,,,,,
88,1.0270775545578118e-13,,,,,,,,1.6462630526616415e-12,,,,,,,
89,7.807954126854801e-14,,,,,,,,1.098921478438931e-12,,,,,,,
90,5.719370356367245e-14,,,,,,,,7.454499211812485e-13,,,,,,,
91,4.3723063863860505e-14,,,,,,,,5.043559196095463e-13,,,,,,,
92,3.552022709117772e-14,,,,,,,,,,,,,,,
93,2.9636820508949035e-14,,,,,,,,,,,,,,,
94,2.6045189197663374e-14,,,,,,,,,,,,,,,
95,2.3005696988874647e-14,,,,,,,,,,,,,,,
96,2.0296656512643978e-14,,,,,,,,,,,,,,,
97,1.7862320249987182e-14,,,,,,,,,,,,,,,
98,1.5553668874542644e-14,,,,,,,,,,,,,,,
99,1.2011955003190372e-14,,,,,,,,,,,,,,,
100,9.962181886832948e-15,,,,,,,,,,,,,,,
101,8.439800646054027e-15,,,,,,,,,,,,,,,
102,6.7037681750804985e-15,,,,,,,,,,,,,,,
103,5.818905371455597e-15,,,,,,,,,,,,,,,
104,5.086352778976768e-15,,,,,,,,,,,,,,,
105,4.505600270983274e-15,,,,,,,,,,,,,,,
106,3.948560683795557e-15,,,,,,,,,,,,,,,
107,3.493884671526246e-15,,,,,,,,,,,,,,,
108,3.02285078841381e-15,,,,,,,,,,,,,,,
109,2.519022629429795e-15,,,,,,,,,,,,,,,
110,1.8450300799811615e-15,,,,,,,,,,,,,,,
111,1.3655971705324638e-15,,,,,,,,,,,,,,,
112,1.0416714826135336e-15,,,,,,,,,,,,,,,
113,6.932130438080629e-16,,,,,,,,,,,,,,,
114,4.697745983599572e-16,,,,,,,,,,,,,,,
115,3.1900942299985973e-16,,,,,,,,,,,,,,,
116,2.1044346912582841e-16,,,,,,,,,,,,,,,
117,1.461989087447498e-16,,,,,,,,,,,,,,,
118,1.0147285904056093e-16,,,,,,,,,,,,,,,
