method,h,lp_norm,inside_cells,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,pair_order_all,pair_order_full,pair_order_cut
Scalar_2D_Diffusion_Heat_Moving,1.0,L^2,1,"[3, 3]",1.6145419916964603,0.2315113850390369,1.59785741590058,0.0,NaN,NaN,NaN
Scalar_2D_Diffusion_Heat_Moving,0.5,L^2,13,"[6, 6]",0.21906588039891195,0.14963577922225815,0.15999685475501696,0.0,2.881688257076757,0.6296279652032853,3.320023225992799
Scalar_2D_Diffusion_Heat_Moving,0.25,L^2,69,"[11, 11]",0.07890117046374052,0.07055610721111227,0.035316149786779855,0.0,1.4732461942293305,1.084612307007508,2.1796435724942356
Scalar_2D_Diffusion_Heat_Moving,0.125,L^2,293,"[21, 21]",0.02892732338032566,0.02779537436295455,0.008012939658648658,0.0,1.447613863990613,1.3439261521385175,2.1399245493945824
Scalar_2D_Diffusion_Heat_Moving,0.0625,L^2,1273,"[42, 42]",0.01236549533508641,0.01209659038878905,0.0025647564890063225,0.0,1.2261128060069224,1.2002443543308716,1.6435097569887418
Scalar_2D_Diffusion_Heat_Moving,0.03125,L^2,5217,"[83, 83]",0.005411349816037379,0.005368011006825478,0.0006834944492300614,0.0,1.192259619849137,1.1721409240496385,1.9078203289179423
