Method,Iterations,FinalResidual,L2Error
Krylov.bicgstab,39,1.1994593048176635e-8,0.007269311456672832
GMRES + KP_ILU0,1,6.484543768108131e-15,0.0072690489586566326
Krylov.cg,3631,6.154010851662565e-7,0.007269064717063499
Krylov.gmres,46,1.1853093978135162e-8,0.007268759250763275
