method,h,lp_norm,inside_cells,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,pair_order_all,pair_order_full,pair_order_cut,ooc_all,ooc_full,ooc_cut
JohansenColella_P4,0.125,L^2,57,"[7, 7, 7]",0.04323728730406004,0.02142652696745403,0.03755485262288745,0.0,NaN,NaN,NaN,NaN,NaN,NaN
JohansenColella_P4,0.0625,L^2,739,"[13, 13, 13]",0.0008124397528461962,0.000290566911643505,0.0007587023275717188,0.0,5.733871368652535,6.204383786662002,5.629321562670559,5.733871368652535,6.204383786662002,5.629321562670559
JohansenColella_P4,0.03125,L^2,6841,"[26, 26, 26]",0.00031027050577204504,0.00010342503407801779,0.0002925252964753676,0.0,1.3887342715343904,1.4902849922472055,1.3749725748036963,1.3887342715343904,1.4902849922472055,1.3749725748036963
JohansenColella_P4,0.015625,L^2,60453,"[51, 51, 51]",0.00010562618200341414,3.27698852903885e-5,0.00010041426662916482,0.0,1.5545590753184408,1.6581429050251786,1.5425971302117791,1.5545590753184408,1.6581429050251786,1.5425971302117791
