method,h,inside_cells,inside_cells_by_dim,err_l1_all,err_l1_full,err_l1_cut,err_l1_empty,err_linf_all,err_linf_full,err_linf_cut,err_linf_empty,pair_order_err_l1_all,pair_order_err_l1_full,pair_order_err_l1_cut,pair_order_err_linf_all,pair_order_err_linf_full,pair_order_err_linf_cut,trunc_l1_all,trunc_l1_full,trunc_l1_cut,trunc_linf_all,trunc_linf_full,trunc_linf_cut,pair_order_l1_all,pair_order_l1_full,pair_order_l1_cut,pair_order_linf_all,pair_order_linf_full,pair_order_linf_cut
default,0.025,401,"[36, 36]",3.415729939837024e-5,1.7791566871941585e-5,1.636573252642869e-5,0.0,0.00045443614474756713,0.00016045334006969947,0.00045443614474756713,0.17677669529663692,NaN,NaN,NaN,NaN,NaN,NaN,0.0064788112893871316,5.796615956981589e-5,0.03033286326902526,0.25255615004049775,0.001790553656732911,0.25255615004049775,NaN,NaN,NaN,NaN,NaN,NaN
default,0.0125,1813,"[72, 72]",1.052019234214492e-5,6.352840439684107e-6,4.167351902460805e-6,0.0,0.00030402260589837415,8.291166008771167e-5,0.00030402260589837415,0.17677669529663692,1.6990328328289053,1.4857198823717832,1.973475343160047,0.5798989872080638,0.9525069105786346,0.5798989872080638,0.0033349445306822163,0.00015609048856929337,0.029207939356014793,0.6729894276322541,0.016637811448129505,0.6729894276322541,0.9580663709170841,-1.4290998177858438,0.05452110906861224,-1.4139796673846106,-3.2159880156006935,-1.4139796673846106
default,0.00625,7713,"[144, 144]",2.790376361088541e-6,1.767193117472951e-6,1.0231832436156046e-6,0.0,0.0002259750327882823,2.449288311187625e-5,0.0002259750327882823,0.17677669529663692,1.9146294533884054,1.8459420792426542,2.0260663873393927,0.42801521767466005,1.7592123992896864,0.42801521767466005,0.0016839204667957392,5.1656140129057e-5,0.030961631581408473,0.5360032883735568,0.019792895648183092,0.5360032883735568,0.9858387654941547,1.5953708778919342,-0.0841209205706152,0.3283419892829433,-0.2505170176607724,0.3283419892829433
default,0.003125,31717,"[288, 288]",7.510032559085091e-7,5.019634478082723e-7,2.4903980810024127e-7,0.0,0.00010889576545558555,1.0047790331126072e-5,0.00010889576545558555,0.17677669529663692,1.8935686558219955,1.8158054867618127,2.0386162675626944,1.053215528791661,1.2854843420430653,1.053215528791661,0.0008448644013569465,3.504554835095749e-5,0.030884682102204387,0.27008549745253957,0.021127112169864664,0.27008549745253957,0.9950322840134739,0.5597086478227847,0.003590017988781933,0.9888256768481754,-0.09411289085487473,0.9888256768481754
default,0.0015625,128581,"[576, 576]",2.0858594560183877e-7,1.456307615437627e-7,6.295518405807557e-8,0.0,5.627354235897275e-5,3.86249013656359e-6,5.627354235897275e-5,0.17677669529663692,1.8481772092401572,1.785267185424899,1.9839792832594305,0.9524191667245908,1.379275110703905,0.9524191667245908,0.0004251843132450007,1.3551277982688266e-5,0.0314293670804766,1.3417331261014565,0.019273568833160695,1.3417331261014565,0.9906314399516839,1.3708022835367963,-0.02522173864387311,-2.312609664718785,0.1324718449426386,-2.312609664718785
arithmetic,0.025,401,"[36, 36]",3.4212283597797925e-5,1.784482372273111e-5,1.6367459875066777e-5,0.0,0.000454448860623749,0.00016042787775231299,0.000454448860623749,0.17677669529663692,NaN,NaN,NaN,NaN,NaN,NaN,0.006479453650596041,5.794548457470118e-5,0.03033596887296247,0.2526279493406073,0.0017905776195860216,0.2526279493406073,NaN,NaN,NaN,NaN,NaN,NaN
arithmetic,0.0125,1813,"[72, 72]",1.0536048704012823e-5,6.368565618446213e-6,4.167483085566608e-6,0.0,0.0003040258163307212,8.290941854994377e-5,0.0003040258163307212,0.17677669529663692,1.6991804844372838,1.4864652716713158,1.973582193239664,0.5799241210814491,0.9523169554972397,0.5799241210814491,0.0033350181060124583,0.00015609022084907195,0.029208613946942998,0.6730406623014451,0.016638045520506423,0.6730406623014451,0.9581775758669819,-1.4296120062610478,0.05463549027468759,-1.413679409418196,-3.2159890049449222,-1.413679409418196
arithmetic,0.00625,7713,"[144, 144]",2.794499311915711e-6,1.7713104063466778e-6,1.0231889055690445e-6,0.0,0.000225973733533405,2.4492877811511937e-5,0.000225973733533405,0.17677669529663692,1.9146721948534073,1.8461514195584985,2.0261038175186696,0.4280387471057391,1.7591737073413414,0.4280387471057391,0.0016839298943585109,5.1656124093691873e-5,0.03096181039755231,0.5360079020293504,0.01979295154097841,0.5360079020293504,0.9858625167671986,1.5953688512853361,-0.08409593238790783,0.3284393994774145,-0.25050079495424776,0.3284393994774145
arithmetic,0.003125,31717,"[288, 288]",7.520324279799993e-7,5.029923434194891e-7,2.4904008456050965e-7,0.0,0.00010889561764233086,1.004788571099674e-5,0.00010889561764233086,0.17677669529663692,1.8937230417461435,1.8162087091624974,2.0386226493901547,1.0532091922106992,1.285470334944691,1.0532091922106992,0.0008448655538429898,3.504556361376084e-5,0.030884725439406725,0.27008608185448485,0.021127129379358917,0.27008608185448485,0.9950383930438018,0.5597075716611085,0.0035963257416689455,0.9888349731606646,-0.09410999203496351,0.9888349731606646
arithmetic,0.0015625,128581,"[576, 576]",2.087777753672439e-7,1.458225703780422e-7,6.295520498920212e-8,0.0,5.627352239356842e-5,3.862457256004204e-6,5.627352239356842e-5,0.17677669529663692,1.8488267293641332,1.7863224025085451,1.9839804051388419,0.952417720290413,1.3793010870060833,0.952417720290413,0.0004251844595601698,1.3551279742505656e-5,0.03142937811469447,1.3417351458407214,0.01927357357443542,1.3417351458407214,0.9906329114791153,1.3708027244960546,-0.025220220765275587,-2.3126087147847336,0.13247266521586454,-2.3126087147847336
