nx,h,dt,qn_mean_gas,qn_mean_liq,qn_mean_ana_gas,qn_mean_ana_liq,qn_err_gas,qn_err_liq,qn_err_max,qn_pairwise_orders,c_interface_gas,c_interface_liq,c_interface_ana_gas,c_interface_ana_liq,c_interface_err_gas,c_interface_err_liq,c_interface_err_max,c_pairwise_orders
8,1.25,0.78125,0.05387511888471674,-0.05387511891782494,0.21472892987114092,-0.21472892987114092,0.16085381098642418,0.16085381095331597,0.16085381098642418,NaN,0.05616342799081085,0.5616342799081083,0.07120515155612948,0.7120515155612949,0.015041723565318632,0.15041723565318654,0.15041723565318654,NaN
16,0.625,0.1953125,0.2130607797834836,-0.21306077994429998,0.21472892987114092,-0.21472892987114092,0.001668150087657333,0.001668149926840945,0.001668150087657333,6.591357209319206,0.07710203744806443,0.7710203744806436,0.07120515155612948,0.7120515155612949,0.005896885891934947,0.05896885891934878,0.05896885891934878,1.3509447060220918
32,0.3125,0.048828125,0.13772448539996962,-0.1377244853255911,0.21472892987114092,-0.21472892987114092,0.0770044444711713,0.07700444454554983,0.07700444454554983,-5.528620715104788,0.05278214936085896,0.5278214936085897,0.07120515155612948,0.7120515155612949,0.018423002195270523,0.18423002195270521,0.18423002195270521,-1.6434829982461818
64,0.15625,0.01220703125,0.1893193314990227,-0.18931933153561223,0.21472892987114092,-0.21472892987114092,0.02540959837211823,0.025409598335528694,0.02540959837211823,1.5995681456200292,0.06545777419203716,0.6545777419203717,0.07120515155612948,0.7120515155612949,0.005747377364092324,0.05747377364092321,0.05747377364092321,1.680532498259673
128,0.078125,0.0030517578125,0.21321315922315218,-0.21321315904198207,0.21472892987114092,-0.21472892987114092,0.0015157706479887456,0.0015157708291588523,0.0015157708291588523,4.06725001945341,0.07036716286563584,0.7036716286563584,0.07120515155612948,0.7120515155612949,0.0008379886904936462,0.008379886904936518,0.008379886904936518,2.7779010989169115
256,0.0390625,0.000762939453125,0.212626154859904,-0.2126261555417066,0.21472892987114092,-0.21472892987114092,0.0021027750112369292,0.002102774329434315,0.0021027750112369292,-0.4722428480049137,0.07076525618715392,0.7076525618715395,0.07120515155612948,0.7120515155612949,0.000439895368975568,0.004398953689755403,0.004398953689755403,0.9297703601540447
