nx,h,dt,qn_mean_gas,qn_mean_liq,qn_mean_ana_gas,qn_mean_ana_liq,qn_err_gas,qn_err_liq,qn_err_max,qn_pairwise_orders,c_interface_gas,c_interface_liq,c_interface_ana_gas,c_interface_ana_liq,c_interface_err_gas,c_interface_err_liq,c_interface_err_max,c_pairwise_orders
8,1.25,0.78125,0.07762751274751555,-0.0776275127475152,0.19274067219208835,-0.19274067219208835,0.1151131594445728,0.11511315944457315,0.11511315944457315,NaN,0.782818257315692,0.07828182573156921,0.8748519765771382,0.08748519765771384,0.09203371926144621,0.009203371926144635,0.09203371926144621,NaN
16,0.625,0.1953125,0.1427520103161414,-0.14275201031614113,0.19274067219208835,-0.19274067219208835,0.049988661875946944,0.04998866187594722,0.04998866187594722,1.2033799543426469,0.8690824001098293,0.08690824001098293,0.8748519765771382,0.08748519765771384,0.005769576467308912,0.0005769576467309079,0.005769576467308912,3.9956252091995
32,0.3125,0.048828125,0.18338376930637446,-0.18338376930637523,0.19274067219208835,-0.19274067219208835,0.009356902885713891,0.009356902885713114,0.009356902885713891,2.4174979236350067,0.8703477627665762,0.08703477627665761,0.8748519765771382,0.08748519765771384,0.0045042138105619856,0.00045042138105623464,0.0045042138105619856,0.35719010514849125
64,0.15625,0.01220703125,0.1915434713999355,-0.19154347139993438,0.19274067219208835,-0.19274067219208835,0.0011972007921528527,0.001197200792153963,0.001197200792153963,2.9663659413951162,0.8738264628794984,0.08738264628794987,0.8748519765771382,0.08748519765771384,0.0010255136976398127,0.00010255136976397572,0.0010255136976398127,2.1349285505284175
128,0.078125,0.0030517578125,0.1924666922724046,-0.19246669227240637,0.19274067219208835,-0.19274067219208835,0.00027397991968375335,0.000273979919681977,0.00027397991968375335,2.1275230732128456,0.8745757850837705,0.08745757850837707,0.8748519765771382,0.08748519765771384,0.00027619149336766124,2.7619149336771676e-5,0.00027619149336766124,1.892605971089239
256,0.0390625,0.000762939453125,0.1926747651935254,-0.1926747651935162,0.19274067219208835,-0.19274067219208835,6.590699856295901e-5,6.59069985721461e-5,6.59069985721461e-5,2.0555665839617725,0.8747810660752464,0.08747810660752463,0.8748519765771382,0.08748519765771384,7.09105018917855e-5,7.091050189214632e-6,7.09105018917855e-5,1.961597673134351
