nx,h,dt,qn_mean_gas,qn_mean_liq,qn_mean_ana_gas,qn_mean_ana_liq,qn_err_gas,qn_err_liq,qn_err_max,qn_pairwise_orders,c_interface_gas,c_interface_liq,c_interface_ana_gas,c_interface_ana_liq,c_interface_err_gas,c_interface_err_liq,c_interface_err_max,c_pairwise_orders
8,1.25,0.78125,0.008407716682113991,-0.008407716682090796,0.022217419439884104,-0.022217419439884104,0.013809702757770112,0.013809702757793307,0.013809702757793307,NaN,0.964571772052285,0.009645717720522851,0.991907556655403,0.009919075567144093,0.02733578460311803,0.000273357846621242,0.02733578460311803,NaN
16,0.625,0.1953125,0.015124093697291407,-0.0151240936973196,0.022217419439884104,-0.022217419439884104,0.007093325742592697,0.007093325742564504,0.007093325742592697,0.9611481608802914,0.9871826247935009,0.00987182624793463,0.991907556655403,0.009919075567144093,0.0047249318619020375,4.7249319209463625e-5,0.0047249318619020375,2.5324253554327174
32,0.3125,0.048828125,0.018481992385943776,-0.01848199238591034,0.022217419439884104,-0.022217419439884104,0.0037354270539403274,0.0037354270539737625,0.0037354270539737625,0.9251890120962913,0.9891033057802153,0.009891033057802152,0.991907556655403,0.009919075567144093,0.0028042508751876527,2.8042509341940844e-5,0.0028042508751876527,0.7526781022500028
64,0.15625,0.01220703125,0.021273698848913395,-0.021273698849032602,0.022217419439884104,-0.022217419439884104,0.0009437205909707085,0.0009437205908515017,0.0009437205909707085,1.9848415024069626,0.9912347446299757,0.009912347446299756,0.991907556655403,0.009919075567144093,0.0006728120254272385,6.728120844337257e-6,0.0006728120254272385,2.0593400253950027
128,0.078125,0.0030517578125,0.022125426648913243,-0.022125426648761062,0.022217419439884104,-0.022217419439884104,9.19927909708608e-5,9.199279112304115e-5,9.199279112304115e-5,3.3587670654462323,0.9918128460629911,0.009918128460629687,0.991907556655403,0.009919075567144093,9.471059241183966e-5,9.471065144060764e-7,9.471059241183966e-5,2.8286058011390134
256,0.0390625,0.000762939453125,0.022146517368287526,-0.0221465173678644,0.022217419439884104,-0.022217419439884104,7.090207159657705e-5,7.090207201970386e-5,7.090207201970386e-5,0.37569302202432947,0.9918605532740246,0.009918605532740285,0.991907556655403,0.009919075567144093,4.700338137841875e-5,4.7003440380860573e-7,4.700338137841875e-5,1.0107612387847287
