nx,h,dt,qn_mean_gas,qn_mean_liq,qn_mean_ana_gas,qn_mean_ana_liq,qn_err_gas,qn_err_liq,qn_err_max,qn_pairwise_orders,c_interface_gas,c_interface_liq,c_interface_ana_gas,c_interface_ana_liq,c_interface_err_gas,c_interface_err_liq,c_interface_err_max,c_pairwise_orders
8,1.25,0.78125,0.21982017946714943,-0.21982017953669789,0.7933244469516857,-0.7933244469516857,0.5735042674845363,0.5735042674149878,0.5735042674845363,NaN,0.36861365236888577,0.3686136523688857,0.5137767466961347,0.5137767466961348,0.14516309432724894,0.1451630943272491,0.1451630943272491,NaN
16,0.625,0.1953125,0.5872608034692355,-0.5872608038203685,0.7933244469516857,-0.7933244469516857,0.2060636434824502,0.2060636431313172,0.2060636434824502,1.4767142337939094,0.4928041727066246,0.4928041727066245,0.5137767466961347,0.5137767466961348,0.020972573989510135,0.0209725739895103,0.0209725739895103,2.7910988739200877
32,0.3125,0.048828125,0.784512609073753,-0.7845126085077266,0.7933244469516857,-0.7933244469516857,0.008811837877932716,0.008811838443959052,0.008811838443959052,4.547503132510512,0.4854303816840033,0.48543038168400326,0.5137767466961347,0.5137767466961348,0.02834636501213139,0.028346365012131558,0.028346365012131558,-0.4346598074318562
64,0.15625,0.01220703125,0.7958066791190276,-0.7958066784203669,0.7933244469516857,-0.7933244469516857,0.0024822321673418912,0.0024822314686812064,0.0024822321673418912,1.8278049854755893,0.505829751113568,0.505829751113568,0.5137767466961347,0.5137767466961348,0.00794699558256673,0.00794699558256684,0.00794699558256684,1.8346822958475446
128,0.078125,0.0030517578125,0.7936272560560536,-0.7936272555792137,0.7933244469516857,-0.7933244469516857,0.0003028091043678627,0.0003028086275279618,0.0003028091043678627,3.0351575717899966,0.5116355208389816,0.5116355208389815,0.5137767466961347,0.5137767466961348,0.0021412258571531506,0.0021412258571533727,0.0021412258571533727,1.8919725628289041
256,0.0390625,0.000762939453125,0.7933618547025965,-0.7933618580988362,0.7933244469516857,-0.7933244469516857,3.740775091076731e-5,3.74111471505012e-5,3.74111471505012e-5,3.0168684730461774,0.5131649141558469,0.5131649141558469,0.5137767466961347,0.5137767466961348,0.0006118325402878488,0.0006118325402879599,0.0006118325402879599,1.8072282359361866
