nx,h,dt,qn_mean_gas,qn_mean_liq,qn_mean_ana_gas,qn_mean_ana_liq,qn_err_gas,qn_err_liq,qn_err_max,qn_pairwise_orders,c_interface_gas,c_interface_liq,c_interface_ana_gas,c_interface_ana_liq,c_interface_err_gas,c_interface_err_liq,c_interface_err_max,c_pairwise_orders
8,1.25,0.78125,0.001072710136473639,-0.0010727101364778563,0.0022459897062523312,-0.0022459897062523312,0.0011732795697786923,0.001173279569774475,0.0011732795697786923,NaN,0.9976152544070936,0.0009976152544070938,0.9991346836650034,0.0009991346836650033,0.0015194292579097102,1.5194292579095558e-6,0.0015194292579097102,NaN
16,0.625,0.1953125,0.0017072514319349682,-0.0017072514319254547,0.0022459897062523312,-0.0022459897062523312,0.0005387382743173631,0.0005387382743268765,0.0005387382743268765,1.1228903512865616,0.9988974201022266,0.0009988974201019438,0.9991346836650034,0.0009991346836650033,0.0002372635627767572,2.3726356305955182e-7,0.0002372635627767572,2.6789670429730172
32,0.3125,0.048828125,0.00213871417164874,-0.0021387141716515783,0.0022459897062523312,-0.0022459897062523312,0.00010727553460359142,0.00010727553460075298,0.00010727553460359142,2.3282634734725907,0.9990229251586553,0.0009990229251586554,0.9991346836650034,0.0009991346836650033,0.00011175850634803641,1.1175850634791325e-7,0.00011175850634803641,1.0861059144891811
64,0.15625,0.01220703125,0.00223240613847101,-0.002232406138475777,0.0022459897062523312,-0.0022459897062523312,1.3583567781321262e-5,1.3583567776554242e-5,1.3583567781321262e-5,2.9813867263206566,0.9991080437413841,0.000999108043741384,0.9991346836650034,0.0009991346836650033,2.663992361928713e-5,2.6639923619278458e-8,2.663992361928713e-5,2.0687227932741252
128,0.078125,0.0030517578125,0.0022430221165805693,-0.002243022116598412,0.0022459897062523312,-0.0022459897062523312,2.967589671761927e-6,2.9675896539194287e-6,2.967589671761927e-6,2.1944989296819077,0.9991280908337642,0.0009991280908336964,0.9991346836650034,0.0009991346836650033,6.592831239160546e-6,6.592831306925784e-9,6.592831239160546e-6,2.01461988861447
256,0.0390625,0.000762939453125,0.0022452931461821877,-0.002245293146176047,0.0022459897062523312,-0.0022459897062523312,6.965600701435912e-7,6.965600762840786e-7,6.965600762840786e-7,2.090971932929248,0.9991330491804045,0.000999133049180406,0.9991346836650034,0.0009991346836650033,1.634484598889152e-6,1.6344845973643302e-9,1.634484598889152e-6,2.012062369045312
