nx,h,dt,qn_mean_gas,qn_mean_liq,qn_mean_ana_gas,qn_mean_ana_liq,qn_err_gas,qn_err_liq,qn_err_max,qn_pairwise_orders,c_interface_gas,c_interface_liq,c_interface_ana_gas,c_interface_ana_liq,c_interface_err_gas,c_interface_err_liq,c_interface_err_max,c_pairwise_orders
8,1.25,0.78125,0.05625641804066316,-0.05625641803867655,0.20929642672955123,-0.20929642672955123,0.15304000868888806,0.1530400086908747,0.1530400086908747,NaN,0.7352321877332753,0.07352321877332753,0.9238405459901267,0.09238405459901267,0.1886083582568514,0.018860835825685138,0.1886083582568514,NaN
16,0.625,0.1953125,0.12950713883425427,-0.12950713884208898,0.20929642672955123,-0.20929642672955123,0.07978928789529696,0.07978928788746226,0.07978928789529696,0.9396418850754907,0.8852710090704667,0.08852710090704669,0.9238405459901267,0.09238405459901267,0.03856953691965992,0.003856953691965981,0.03856953691965992,2.2898598814078617
32,0.3125,0.048828125,0.16232017987974529,-0.16232017989018208,0.20929642672955123,-0.20929642672955123,0.04697624684980595,0.04697624683936916,0.04697624684980595,0.764263616179059,0.8993398856701752,0.08993398856701751,0.9238405459901267,0.09238405459901267,0.02450066031995146,0.0024500660319951573,0.02450066031995146,0.6546411925501697
64,0.15625,0.01220703125,0.19023345085892146,-0.1902334508531008,0.20929642672955123,-0.20929642672955123,0.019062975870629773,0.019062975876450422,0.019062975876450422,1.3011581017900908,0.9178516882140982,0.09178516882140984,0.9238405459901267,0.09238405459901267,0.005988857776028422,0.0005988857776028228,0.005988857776028422,2.032467855407314
128,0.078125,0.0030517578125,0.19876127294299356,-0.19876127293494575,0.20929642672955123,-0.20929642672955123,0.010535153786557672,0.010535153794605484,0.010535153794605484,0.8555619774635451,0.922997280652145,0.0922997280652145,0.9238405459901267,0.09238405459901267,0.0008432653379816246,8.432653379816801e-5,0.0008432653379816246,2.828222311981066
256,0.0390625,0.000762939453125,0.19893371838001028,-0.19893371838231855,0.20929642672955123,-0.20929642672955123,0.01036270834954095,0.010362708347232685,0.01036270834954095,0.023810266692694412,0.9234185334827715,0.0923418533482771,0.9238405459901267,0.09238405459901267,0.00042201250735518503,4.220125073556291e-5,0.00042201250735518503,0.9987008970666522
