nx,h,dt,qn_mean_gas,qn_mean_liq,qn_mean_ana_gas,qn_mean_ana_liq,qn_err_gas,qn_err_liq,qn_err_max,qn_pairwise_orders,c_interface_gas,c_interface_liq,c_interface_ana_gas,c_interface_ana_liq,c_interface_err_gas,c_interface_err_liq,c_interface_err_max,c_pairwise_orders
8,1.25,0.78125,0.10956312465008711,-0.10956312465008762,0.819861334722186,-0.819861334722186,0.7102982100720989,0.7102982100720984,0.7102982100720989,NaN,0.2756223589493847,0.27562235894938464,0.408229593695293,0.4082295936952931,0.1326072347459083,0.13260723474590846,0.13260723474590846,NaN
16,0.625,0.1953125,0.4533671913307512,-0.4533671913307508,0.819861334722186,-0.819861334722186,0.3664941433914348,0.3664941433914352,0.3664941433914352,0.9546347056320004,0.40895781234823475,0.40895781234823453,0.408229593695293,0.4082295936952931,0.0007282186529417589,0.0007282186529414258,0.0007282186529417589,7.508572077246683
32,0.3125,0.048828125,0.6192373400071359,-0.6192373400071363,0.819861334722186,-0.819861334722186,0.2006239947150501,0.20062399471504977,0.2006239947150501,0.8692959809405484,0.37567621201776136,0.3756762120177613,0.408229593695293,0.4082295936952931,0.032553381677531634,0.0325533816775318,0.0325533816775318,-5.4822919144019515
64,0.15625,0.01220703125,0.7684529414376503,-0.7684529414376507,0.819861334722186,-0.819861334722186,0.051408393284535725,0.05140839328453528,0.051408393284535725,1.9644183352257238,0.40050676848041794,0.4005067684804179,0.408229593695293,0.4082295936952931,0.007722825214875051,0.0077228252148752174,0.0077228252148752174,2.0756067943799157
128,0.078125,0.0030517578125,0.8147258880275249,-0.814725888027524,0.819861334722186,-0.819861334722186,0.00513544669466115,0.005135446694662038,0.005135446694662038,3.323442246347339,0.4071262741216856,0.40712627412168556,0.408229593695293,0.4082295936952931,0.0011033195736073753,0.0011033195736075418,0.0011033195736075418,2.8072779959965986
256,0.0390625,0.000762939453125,0.8159660807272245,-0.8159660807272211,0.819861334722186,-0.819861334722186,0.0038952539949614895,0.003895253994964931,0.003895253994964931,0.3987723673015289,0.40769178545295964,0.4076917854529596,0.408229593695293,0.4082295936952931,0.0005378082423333486,0.0005378082423335151,0.0005378082423335151,1.036686953349409
