nx,h,dt,qn_mean_gas,qn_mean_liq,qn_mean_ana_gas,qn_mean_ana_liq,qn_err_gas,qn_err_liq,qn_err_max,qn_pairwise_orders,c_interface_gas,c_interface_liq,c_interface_ana_gas,c_interface_ana_liq,c_interface_err_gas,c_interface_err_liq,c_interface_err_max,c_pairwise_orders
8,1.25,0.78125,0.007611180998142699,-0.007611180998227553,0.002127797563965123,-0.002127797563965123,0.0054833834341775755,0.0054833834342624295,0.0054833834342624295,NaN,0.0007024159987363567,0.7024159987363563,0.0006948596165370011,0.6948596165370012,7.55638219935564e-6,0.007556382199355061,0.007556382199355061,NaN
16,0.625,0.1953125,0.006622167680183796,-0.006622167680340087,0.002127797563965123,-0.002127797563965123,0.004494370116218673,0.0044943701163749645,0.0044943701163749645,0.28694742294507697,0.0008108941995022112,0.8108941995022104,0.0006948596165370011,0.6948596165370012,0.00011603458296521017,0.11603458296520919,0.11603458296520919,-3.9407153656532565
32,0.3125,0.048828125,0.002378823498420896,-0.002378823498471348,0.002127797563965123,-0.002127797563965123,0.00025102593445577295,0.0002510259345062248,0.0002510259345062248,4.1622106092924485,0.0006239723593818312,0.623972359381831,0.0006948596165370011,0.6948596165370012,7.088725715516983e-5,0.07088725715517019,0.07088725715517019,0.7109566365554219
64,0.15625,0.01220703125,0.0021337646107012654,-0.0021337646094628147,0.002127797563965123,-0.002127797563965123,5.9670467361422515e-6,5.967045497691503e-6,5.9670467361422515e-6,5.394675535655668,0.0006719491274341649,0.6719491274341647,0.0006948596165370011,0.6948596165370012,2.291048910283615e-5,0.02291048910283655,0.02291048910283655,1.6295180505915323
128,0.078125,0.0030517578125,0.002132581051013081,-0.002132581102290143,0.002127797563965123,-0.002127797563965123,4.783487047957911e-6,4.783538325019935e-6,4.783538325019935e-6,0.31893891964185966,0.0006891919575364277,0.6891919575364271,0.0006948596165370011,0.6948596165370012,5.667659000573402e-6,0.005667659000574088,0.005667659000574088,2.0151833932063177
256,0.0390625,0.000762939453125,0.0021291682349086215,-0.002129168267776545,0.002127797563965123,-0.002127797563965123,1.3706709434983463e-6,1.3707038114220069e-6,1.3707038114220069e-6,1.8031612970336537,0.0006934346415455572,0.6934346415455573,0.0006948596165370011,0.6948596165370012,1.4249749914438956e-6,0.0014249749914438947,0.0014249749914438947,1.9918163599643643
