method,h,lp_norm,inside_cells,inside_cells_phase1,inside_cells_phase2,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,phase1_all_err,phase1_full_err,phase1_cut_err,phase1_empty_err,phase2_all_err,phase2_full_err,phase2_cut_err,phase2_empty_err,pair_order_all,pair_order_full,pair_order_cut
Heat_2ph_2D_ratio1.0e6_He10.0_Dl1.0,2.5,L^2,16,0,16,"[0, 16]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0896512789323699,0.0896512789323699,0.0,0.0,NaN,NaN,NaN
Heat_2ph_2D_ratio1.0e6_He10.0_Dl1.0,1.25,L^2,56,1,55,"[1, 55]",0.1653143339751904,0.05930895945302723,0.154309028725671,0.0,0.1653143339751904,0.05930895945302723,0.154309028725671,0.0,0.14697184172533673,0.05913708430409271,0.13454934975743313,0.0,NaN,NaN,NaN
Heat_2ph_2D_ratio1.0e6_He10.0_Dl1.0,0.625,L^2,240,5,235,"[5, 235]",0.08951113373408319,0.05781811143965878,0.07236853192067212,0.0,0.07504169321294318,0.01985072562684154,0.07236853192067212,0.0,0.08951113373408319,0.05781811143965878,0.0683323426490862,0.0,0.8850727758539474,0.03672857496992992,1.0923880671605999
Heat_2ph_2D_ratio1.0e6_He10.0_Dl1.0,0.3125,L^2,1000,21,979,"[21, 979]",0.054705869908516114,0.05442254003391181,0.005560516046623254,0.0,0.006176535327866178,0.00499032916894687,0.003639533409921799,0.0,0.054705869908516114,0.05442254003391181,0.005560516046623254,0.0,0.7103714997401722,0.08731719336661435,3.7020718208194165
Heat_2ph_2D_ratio1.0e6_He10.0_Dl1.0,0.15625,L^2,4048,101,3947,"[101, 3947]",0.053042343360385776,0.053029883866452916,0.0011496113567538652,0.0,0.0021452097829201505,0.0019005330335518872,0.0009949367824713187,0.0,0.053042343360385776,0.053029883866452916,0.0011496113567538652,0.0,0.044551127919141204,0.0373987032562815,2.274072560195492
Heat_2ph_2D_ratio1.0e6_He10.0_Dl1.0,0.078125,L^2,16280,473,15807,"[473, 15807]",0.052840829112172694,0.05284033894024519,0.00022760039948420332,0.0,0.000546463006607584,0.0005238492923317918,0.0001555755010086142,0.0,0.052840829112172694,0.05284033894024519,0.00022760039948420332,0.0,0.005491410028336845,0.005165868362056233,2.336571224062837
Heat_2ph_2D_ratio1.0e6_He10.0_Dl1.0,0.0390625,L^2,65328,1953,63375,"[1953, 63375]",0.05281549383787954,0.05281548149914055,3.61019810507386e-5,0.0,0.00013906319678533735,0.00013544044404253906,3.1535041108540206e-5,0.0,0.05281549383787954,0.05281548149914055,3.61019810507386e-5,0.0,0.0006918861883943259,0.0006788401722380153,2.6563531793944577
