method,h,lp_norm,inside_cells,inside_cells_phase1,inside_cells_phase2,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,phase1_all_err,phase1_full_err,phase1_cut_err,phase1_empty_err,phase2_all_err,phase2_full_err,phase2_cut_err,phase2_empty_err,pair_order_all,pair_order_full,pair_order_cut
Heat_2ph_2D_ratio10.0_He0.1_Dl1.0,2.5,L^2,16,0,16,"[0, 16]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4357392251086688e-5,2.4357392251086688e-5,0.0,0.0,NaN,NaN,NaN
Heat_2ph_2D_ratio10.0_He0.1_Dl1.0,1.25,L^2,56,1,55,"[1, 55]",0.13673571844234575,0.1293743842271608,0.04425974925129403,0.0,0.13673571844234575,0.1293743842271608,0.04425974925129403,0.0,0.005195682004340443,0.003149947759069327,0.004131941505559007,0.0,NaN,NaN,NaN
Heat_2ph_2D_ratio10.0_He0.1_Dl1.0,0.625,L^2,240,5,235,"[5, 235]",0.044749787471322834,0.031519276894513164,0.03176599853263819,0.0,0.044749787471322834,0.031519276894513164,0.03176599853263819,0.0,0.0027544384899597335,0.002549301589608732,0.0010430689335753655,0.0,1.6114374207775743,2.037245653525031,0.4785119081948484
Heat_2ph_2D_ratio10.0_He0.1_Dl1.0,0.3125,L^2,1000,21,979,"[21, 979]",0.00969322685411682,0.00784225137137694,0.0056971694966455036,0.0,0.00969322685411682,0.00784225137137694,0.0056971694966455036,0.0,0.0009883682653975096,0.000985024236258811,8.123473412049798e-5,0.0,2.206831909900177,2.00689464621927,2.4791661359189914
Heat_2ph_2D_ratio10.0_He0.1_Dl1.0,0.15625,L^2,4048,101,3947,"[101, 3947]",0.002311808794703816,0.0020478489410164897,0.0010727416362048942,0.0,0.002311808794703816,0.0020478489410164897,0.0010727416362048942,0.0,0.0002832203069273502,0.0002825302941932317,1.975791282267534e-5,0.0,2.067954935419223,1.9371585866980576,2.408942675570238
Heat_2ph_2D_ratio10.0_He0.1_Dl1.0,0.078125,L^2,16280,473,15807,"[473, 15807]",0.0005739398319172938,0.0005496472323442014,0.00016521153300423833,0.0,0.0005739398319172938,0.0005496472323442014,0.00016521153300423833,0.0,7.299419268653716e-5,7.240925813631544e-5,9.222337128285521e-6,0.0,2.010050672950248,1.8975314108625323,2.6989163466157304
Heat_2ph_2D_ratio10.0_He0.1_Dl1.0,0.0390625,L^2,65328,1953,63375,"[1953, 63375]",0.00014272129678189065,0.00013865412487254548,3.382901433581957e-5,0.0,0.00014272129678189065,0.00013865412487254548,3.382901433581957e-5,0.0,1.8494118781593234e-5,1.829576977756535e-5,2.7013399923013266e-6,0.0,2.0076988732334837,1.9870154470250012,2.2879813536528983
