method,h,lp_norm,inside_cells,inside_cells_phase1,inside_cells_phase2,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,phase1_all_err,phase1_full_err,phase1_cut_err,phase1_empty_err,phase2_all_err,phase2_full_err,phase2_cut_err,phase2_empty_err,pair_order_all,pair_order_full,pair_order_cut
Heat_2ph_2D_ratio10.0_He0.001_Dl1.0,2.5,L^2,16,0,16,"[0, 16]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5373499449790894e-7,2.5373499449790894e-7,0.0,0.0,NaN,NaN,NaN
Heat_2ph_2D_ratio10.0_He0.001_Dl1.0,1.25,L^2,56,1,55,"[1, 55]",0.0018559085667085322,0.0017690015939055294,0.0005612753056582956,0.0,0.0018559085667085322,0.0017690015939055294,0.0005612753056582956,0.0,7.145146507510415e-5,4.009874787685516e-5,5.913883901538172e-5,0.0,NaN,NaN,NaN
Heat_2ph_2D_ratio10.0_He0.001_Dl1.0,0.625,L^2,240,5,235,"[5, 235]",0.000529325046597655,0.0003798747776516399,0.00036861925920891165,0.0,0.000529325046597655,0.0003798747776516399,0.00036861925920891165,0.0,3.1461829093234695e-5,2.858681250583571e-5,1.3139286154434116e-5,0.0,1.8098998101934483,2.2193395175038257,0.6065771374053432
Heat_2ph_2D_ratio10.0_He0.001_Dl1.0,0.3125,L^2,1000,21,979,"[21, 979]",0.00011396770617310282,9.220368489012661e-5,6.698595780490818e-5,0.0,0.00011396770617310282,9.220368489012661e-5,6.698595780490818e-5,0.0,1.0950181147701897e-5,1.0940230930806152e-5,4.667058475296537e-7,0.0,2.215528839998428,2.042627611554232,2.46020084751239
Heat_2ph_2D_ratio10.0_He0.001_Dl1.0,0.15625,L^2,4048,101,3947,"[101, 3947]",2.6654102524491046e-5,2.3622535649691013e-5,1.234572763611595e-5,0.0,2.6654102524491046e-5,2.3622535649691013e-5,1.234572763611595e-5,0.0,3.0549276206943396e-6,3.051235969602036e-6,1.5013935356163777e-7,0.0,2.096195570269316,1.9646605762997356,2.439846827668079
Heat_2ph_2D_ratio10.0_He0.001_Dl1.0,0.078125,L^2,16280,473,15807,"[473, 15807]",6.563213786159507e-6,6.286808672594909e-6,1.8846251396549974e-6,0.0,6.563213786159507e-6,6.286808672594909e-6,1.8846251396549974e-6,0.0,1.861925315275829e-6,1.8593619054070842e-6,9.766874825620182e-8,0.0,2.021883273182638,1.9097640692033857,2.7116623703060228
Heat_2ph_2D_ratio10.0_He0.001_Dl1.0,0.0390625,L^2,65328,1953,63375,"[1953, 63375]",1.6254877761709519e-6,1.5794553755361512e-6,3.840979395559725e-7,0.0,1.6254877761709519e-6,1.5794553755361512e-6,3.840979395559725e-7,0.0,1.2105909707464634e-6,1.2101483886318237e-6,3.273187963844345e-8,0.0,2.013529720483379,1.9929006809306289,2.294731463701041
