method,h,lp_norm,inside_cells,inside_cells_phase1,inside_cells_phase2,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,phase1_all_err,phase1_full_err,phase1_cut_err,phase1_empty_err,phase2_all_err,phase2_full_err,phase2_cut_err,phase2_empty_err,pair_order_all,pair_order_full,pair_order_cut
Heat_2ph_2D_ratio1000.0_He1000.0_Dl1.0,2.5,L^2,16,0,16,"[0, 16]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0871113880214609,0.0871113880214609,0.0,0.0,NaN,NaN,NaN
Heat_2ph_2D_ratio1000.0_He1000.0_Dl1.0,1.25,L^2,56,1,55,"[1, 55]",0.18791816307584466,0.06028653663875527,0.17798530701691018,0.0,0.001486733806569101,0.0006895643341864136,0.0013171478431115839,0.0,0.18791816307584466,0.06028653663875527,0.17798530701691018,0.0,NaN,NaN,NaN
Heat_2ph_2D_ratio1000.0_He1000.0_Dl1.0,0.625,L^2,240,5,235,"[5, 235]",0.11170348100676018,0.05782711297630899,0.09557035457636863,0.0,0.0009750974765276751,0.00033352961532037614,0.0009162822078567727,0.0,0.11170348100676018,0.05782711297630899,0.09557035457636863,0.0,0.7504303708891126,0.06008977408328416,0.8971230729678676
Heat_2ph_2D_ratio1000.0_He1000.0_Dl1.0,0.3125,L^2,1000,21,979,"[21, 979]",0.05255925423311229,0.05220801788208858,0.006066141637355001,0.0,7.530469107967802e-5,5.8659198854276146e-5,4.7221762868196965e-5,0.0,0.05255925423311229,0.05220801788208858,0.006066141637355001,0.0,1.0876574346948793,0.14747469055393359,3.97771208243187
Heat_2ph_2D_ratio1000.0_He1000.0_Dl1.0,0.15625,L^2,4048,101,3947,"[101, 3947]",0.05062468648460099,0.05061017159068903,0.0012121935592777913,0.0,2.3259628240986437e-5,2.0391961462370526e-5,1.1188307004461807e-5,0.0,0.05062468648460099,0.05061017159068903,0.0012121935592777913,0.0,0.05410373691041162,0.04484402096467254,2.323159101368786
Heat_2ph_2D_ratio1000.0_He1000.0_Dl1.0,0.078125,L^2,16280,473,15807,"[473, 15807]",0.05039989805408578,0.05039939757089494,0.0002246071083226688,0.0,5.7286274055793806e-6,5.427451329072716e-6,1.8330150088043358e-6,0.0,0.05039989805408578,0.05039939757089494,0.0002246071083226688,0.0,0.006420252865022953,0.006020876575884963,2.4321445905290493
Heat_2ph_2D_ratio1000.0_He1000.0_Dl1.0,0.0390625,L^2,65328,1953,63375,"[1953, 63375]",0.05037485419743957,0.050374838553087206,3.9700928129152854e-5,0.0,1.4340104116435804e-6,1.3800892972152734e-6,3.8953740823448985e-7,0.0,0.05037485419743957,0.050374838553087206,3.9700928129152854e-5,0.0,0.0007170575511185836,0.0007031792105706529,2.5001589463660094
