method,h,lp_norm,inside_cells,inside_cells_phase1,inside_cells_phase2,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,phase1_all_err,phase1_full_err,phase1_cut_err,phase1_empty_err,phase2_all_err,phase2_full_err,phase2_cut_err,phase2_empty_err,pair_order_all,pair_order_full,pair_order_cut
Heat_2ph_2D_ratio100.0_He1000.0_Dl1.0,2.5,L^2,16,0,16,"[0, 16]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07716062069347841,0.07716062069347841,0.0,0.0,NaN,NaN,NaN
Heat_2ph_2D_ratio100.0_He1000.0_Dl1.0,1.25,L^2,56,1,55,"[1, 55]",0.18712762979423733,0.05614039423500053,0.1785077196301265,0.0,0.0015853470309934493,0.000643104164135561,0.0014490487371897624,0.0,0.18712762979423733,0.05614039423500053,0.1785077196301265,0.0,NaN,NaN,NaN
Heat_2ph_2D_ratio100.0_He1000.0_Dl1.0,0.625,L^2,240,5,235,"[5, 235]",0.11841673046593604,0.053490196778536725,0.1056471528382832,0.0,0.0011235604836533867,0.00021393042843006351,0.0011030058622777858,0.0,0.11841673046593604,0.053490196778536725,0.1056471528382832,0.0,0.6601496652842422,0.06976468388336415,0.7567325779039226
Heat_2ph_2D_ratio100.0_He1000.0_Dl1.0,0.3125,L^2,1000,21,979,"[21, 979]",0.046602854628052116,0.04618672308313738,0.006213909423619225,0.0,6.945837158108369e-5,4.979896995922128e-5,4.8420326038725424e-5,0.0,0.046602854628052116,0.04618672308313738,0.006213909423619225,0.0,1.3453826919657232,0.21179631947055103,4.087608865012559
Heat_2ph_2D_ratio100.0_He1000.0_Dl1.0,0.15625,L^2,4048,101,3947,"[101, 3947]",0.04414670689230044,0.044123117926463604,0.001442980901493511,0.0,2.472998883692638e-5,2.060750473105714e-5,1.3671250734075543e-5,0.0,0.04414670689230044,0.044123117926463604,0.001442980901493511,0.0,0.07811250437774034,0.0659434501016522,2.1064490070918156
Heat_2ph_2D_ratio100.0_He1000.0_Dl1.0,0.078125,L^2,16280,473,15807,"[473, 15807]",0.043876121672053396,0.043874689236225554,0.0003545382990126507,0.0,6.292577346561873e-6,5.405917410770391e-6,3.220650029170078e-6,0.0,0.043876121672053396,0.043874689236225554,0.0003545382990126507,0.0,0.008869816873493966,0.00814583461002971,2.025038817052461
Heat_2ph_2D_ratio100.0_He1000.0_Dl1.0,0.0390625,L^2,65328,1953,63375,"[1953, 63375]",0.04384271340152325,0.04384259056895778,0.00010378155347036795,0.0,1.62954077159261e-6,1.367729104693637e-6,8.858443556610731e-7,0.0,0.04384271340152325,0.04384259056895778,0.00010378155347036795,0.0,0.0010989190293849858,0.0010558601510725775,1.7723914467107453
