method,h,lp_norm,inside_cells,inside_cells_phase1,inside_cells_phase2,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,phase1_all_err,phase1_full_err,phase1_cut_err,phase1_empty_err,phase2_all_err,phase2_full_err,phase2_cut_err,phase2_empty_err,pair_order_all,pair_order_full,pair_order_cut
Heat_2ph_2D_ratio10000.0_He0.01_Dl1.0,2.5,L^2,16,0,16,"[0, 16]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.609404479183733e-6,2.609404479183733e-6,0.0,0.0,NaN,NaN,NaN
Heat_2ph_2D_ratio10000.0_He0.01_Dl1.0,1.25,L^2,56,1,55,"[1, 55]",0.017608805846515942,0.016777119009973116,0.005347739809068186,0.0,0.017608805846515942,0.016777119009973116,0.005347739809068186,0.0,0.0006903124942516289,0.00039146004278731747,0.000568586294788097,0.0,NaN,NaN,NaN
Heat_2ph_2D_ratio10000.0_He0.01_Dl1.0,0.625,L^2,240,5,235,"[5, 235]",0.0050860887940184845,0.0036406871953486328,0.003551576546586728,0.0,0.0050860887940184845,0.0036406871953486328,0.003551576546586728,0.0,0.00031019319451604824,0.0002828294417969932,0.00012738651724916643,0.0,1.7916685208762295,2.2042122993364113,0.5904696938730968
Heat_2ph_2D_ratio10000.0_He0.01_Dl1.0,0.3125,L^2,1000,21,979,"[21, 979]",0.001106157693944218,0.00089372283469419,0.0006518008427565678,0.0,0.001106157693944218,0.00089372283469419,0.0006518008427565678,0.0,0.00010834102370763857,0.00010825401635783721,4.341124326279844e-6,0.0,2.200999578150262,2.0263114001415996,2.4459564572953942
Heat_2ph_2D_ratio10000.0_He0.01_Dl1.0,0.15625,L^2,4048,101,3947,"[101, 3947]",0.00025868976458164283,0.0002291848525733711,0.00011997790484179969,0.0,0.00025868976458164283,0.0002291848525733711,0.00011997790484179969,0.0,3.0267573490082077e-5,3.02303232514447e-5,1.5011865609179382e-6,0.0,2.096262192934389,1.963315790004853,2.4416624741849033
Heat_2ph_2D_ratio10000.0_He0.01_Dl1.0,0.078125,L^2,16280,473,15807,"[473, 15807]",6.371382522862178e-5,6.107722199195806e-5,1.813903192037646e-5,0.0,6.371382522862178e-5,6.107722199195806e-5,1.813903192037646e-5,0.0,7.729218496346665e-6,7.668333088801771e-6,9.682387120205811e-7,0.0,2.021544611743767,1.9078053458878288,2.725599376809058
Heat_2ph_2D_ratio10000.0_He0.01_Dl1.0,0.0390625,L^2,65328,1953,63375,"[1953, 63375]",1.5779738245898247e-5,1.5368631865335498e-5,3.578448504150688e-6,0.0,1.5779738245898247e-5,1.5368631865335498e-5,3.578448504150688e-6,0.0,1.9192755954964846e-6,1.8921371620377122e-6,3.2161432104970107e-7,0.0,2.013533181928187,1.9906457045112826,2.341691337588603
