method,h,lp_norm,inside_cells,inside_cells_phase1,inside_cells_phase2,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,phase1_all_err,phase1_full_err,phase1_cut_err,phase1_empty_err,phase2_all_err,phase2_full_err,phase2_cut_err,phase2_empty_err,pair_order_all,pair_order_full,pair_order_cut
Heat_2ph_2D_ratio100.0_He0.01_Dl1.0,2.5,L^2,16,0,16,"[0, 16]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5316873666452425e-6,2.5316873666452425e-6,0.0,0.0,NaN,NaN,NaN
Heat_2ph_2D_ratio100.0_He0.01_Dl1.0,1.25,L^2,56,1,55,"[1, 55]",0.032067166514107015,0.030755671005156877,0.009076996709596115,0.0,0.032067166514107015,0.030755671005156877,0.009076996709596115,0.0,0.0012666026392764691,0.0007153697672145298,0.001045240805736911,0.0,NaN,NaN,NaN
Heat_2ph_2D_ratio100.0_He0.01_Dl1.0,0.625,L^2,240,5,235,"[5, 235]",0.00815032931910768,0.006347239915128785,0.005112769647627614,0.0,0.00815032931910768,0.006347239915128785,0.005112769647627614,0.0,0.000534794525207584,0.0004125003557348021,0.00034036545169959166,0.0,1.9761666228587076,2.276651171729064,0.8281100065809445
Heat_2ph_2D_ratio100.0_He0.01_Dl1.0,0.3125,L^2,1000,21,979,"[21, 979]",0.003103826074327597,0.0025110529967654997,0.0018243763721093487,0.0,0.003103826074327597,0.0025110529967654997,0.0018243763721093487,0.0,0.0002780009278814409,0.00027250409750173186,5.500938781434243e-5,0.0,1.392810636426746,1.3378368975486605,1.4867016370658486
Heat_2ph_2D_ratio100.0_He0.01_Dl1.0,0.15625,L^2,4048,101,3947,"[101, 3947]",0.0007719214987292077,0.0006839346144709053,0.0003579053552671157,0.0,0.0007719214987292077,0.0006839346144709053,0.0003579053552671157,0.0,7.733257741690416e-5,7.710740222714023e-5,5.897122325633354e-6,0.0,2.0075216732228647,1.8763621653199756,2.349753354986349
Heat_2ph_2D_ratio100.0_He0.01_Dl1.0,0.078125,L^2,16280,473,15807,"[473, 15807]",0.00012172902474284403,0.00011670870961348301,3.459815840763247e-5,0.0,0.00012172902474284403,0.00011670870961348301,3.459815840763247e-5,0.0,1.2973072118221315e-5,1.293759812388965e-5,9.58725700760312e-7,0.0,2.6647809373339335,2.550946178172653,3.3708109774963537
Heat_2ph_2D_ratio100.0_He0.01_Dl1.0,0.0390625,L^2,65328,1953,63375,"[1953, 63375]",5.402434919908324e-5,5.2630901199160425e-5,1.2190920611204977e-5,0.0,5.402434919908324e-5,5.2630901199160425e-5,1.2190920611204977e-5,0.0,5.6524574410097085e-6,5.6418093137310565e-6,3.467892586622663e-7,0.0,1.1719915084453096,1.1489302255456828,1.5048881712424302
