method,h,lp_norm,inside_cells,inside_cells_phase1,inside_cells_phase2,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,phase1_all_err,phase1_full_err,phase1_cut_err,phase1_empty_err,phase2_all_err,phase2_full_err,phase2_cut_err,phase2_empty_err,pair_order_all,pair_order_full,pair_order_cut
Heat_2ph_2D_ratio1.0e6_He100.0_Dl1.0,2.5,L^2,16,0,16,"[0, 16]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08738304843338406,0.08738304843338406,0.0,0.0,NaN,NaN,NaN
Heat_2ph_2D_ratio1.0e6_He100.0_Dl1.0,1.25,L^2,56,1,55,"[1, 55]",0.18537850297899094,0.059848369340334044,0.17545187959675645,0.0,0.017443160276168684,0.006868280507571943,0.016034043884479564,0.0,0.18537850297899094,0.059848369340334044,0.17545187959675645,0.0,NaN,NaN,NaN
Heat_2ph_2D_ratio1.0e6_He100.0_Dl1.0,0.625,L^2,240,5,235,"[5, 235]",0.10274375676022883,0.057018718109406064,0.08547014296445953,0.0,0.008538074849696278,0.0029782889459930534,0.008001782119827541,0.0,0.10274375676022883,0.057018718109406064,0.08547014296445953,0.0,0.8514232236327585,0.06987633421054555,1.0375829625875999
Heat_2ph_2D_ratio1.0e6_He100.0_Dl1.0,0.3125,L^2,1000,21,979,"[21, 979]",0.05268915018317365,0.05236105972489198,0.005870772650284031,0.0,0.0006998143075398387,0.0005654131228426638,0.00041236884648912416,0.0,0.05268915018317365,0.05236105972489198,0.005870772650284031,0.0,0.9634729150293618,0.12294130908587203,3.863798242035715
Heat_2ph_2D_ratio1.0e6_He100.0_Dl1.0,0.15625,L^2,4048,101,3947,"[101, 3947]",0.0508274847878505,0.050812597008139275,0.0012301199728520314,0.0,0.00022816148144401234,0.00020213767164036785,0.00010582071308839871,0.0,0.0508274847878505,0.050812597008139275,0.0012301199728520314,0.0,0.051897070458658226,0.04330809450081978,2.254751360812726
Heat_2ph_2D_ratio1.0e6_He100.0_Dl1.0,0.078125,L^2,16280,473,15807,"[473, 15807]",0.05060749581175715,0.05060694034367964,0.00023711049800833193,0.0,5.658916057713879e-5,5.424733126678706e-5,1.611087040655056e-5,0.0,0.05060749581175715,0.05060694034367964,0.00023711049800833193,0.0,0.006257752514677044,0.005850948729532212,2.3751675832846297
Heat_2ph_2D_ratio1.0e6_He100.0_Dl1.0,0.0390625,L^2,65328,1953,63375,"[1953, 63375]",0.050582661135373894,0.05058264622562188,3.8837477294284005e-5,0.0,1.4246523959718844e-5,1.3875374366498656e-5,3.230701336297588e-6,0.0,0.050582661135373894,0.05058264622562188,3.8837477294284005e-5,0.0,0.0007081492164951889,0.0006927393520701627,2.610038141186942
